Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls2,Ast3,G+A,G-PK,G+A-PK
1,Vincent Aboubakar,cm CMR,FW,pt Porto,25,1992,6,6,495,5,2,0,0,0,0,0.91,0.36,1.27,0.91,1.27
2,Marcos Acuña,ar ARG,"MF,DF",pt Sporting CP,25,1991,5,5,433,0,1,0,0,2,0,0,0.21,0.21,0,0.21
3,Tosin Adarabioyo,eng ENG,DF,eng Manchester City,19,1997,2,1,91,0,0,0,0,0,0,0,0,0,0,0
4,Adriano,br BRA,DF,tr Be_ikta_,32,1984,6,5,486,0,0,0,0,1,0,0,0,0,0,0
5,Luiz Adriano,br BRA,"FW,MF",ru Spartak Moscow,30,1987,6,6,540,1,0,0,0,1,0,0.17,0,0.17,0.17,0.17
6,Ansi Agolli,al ALB,DF,az Qaraba_ FK,34,1982,4,4,360,0,0,0,0,0,0,0,0,0,0,0
7,Sergio Agüero,ar ARG,FW,eng Manchester City,29,1988,7,5,440,4,1,1,2,0,0,0.82,0.2,1.02,0.61,0.82
8,Karim El Ahmadi,ma MAR,MF,nl Feyenoord,32,1985,4,4,360,0,0,0,0,3,0,0,0,0,0,0
9,Valon Ahmedi,al ALB,MF,si NK Maribor,22,1994,4,3,226,0,0,0,0,0,0,0,0,0,0,0
10,Albian Ajeti,ch SUI,FW,ch Basel,20,1997,3,1,98,0,0,0,0,0,0,0,0,0,0,0
11,Manuel Akanji,ch SUI,DF,ch Basel,22,1995,6,6,540,0,1,0,0,2,0,0,0.17,0.17,0,0.17
12,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,31,1986,6,6,540,0,0,0,0,0,0,0,0,0,0,0
13,David Alaba,at AUT,DF,de Bayern Munich,25,1992,7,7,625,0,2,0,0,0,0,0,0.29,0.29,0,0.29
14,Jordi Alba,es ESP,DF,es Barcelona,28,1989,8,7,638,0,0,0,0,0,0,0,0,0,0,0
15,Raúl Albiol,es ESP,DF,it Napoli,31,1985,5,5,450,0,0,0,0,1,0,0,0,0,0,0
16,Paco Alcácer,es ESP,FW,es Barcelona,23,1993,2,1,95,1,0,0,0,0,0,0.95,0,0.95,0.95,0.95
17,Thiago Alcántara,es ESP,"MF,FW",de Bayern Munich,26,1991,10,7,607,3,0,0,0,2,0,0.44,0,0.44,0.44,0.44
18,Toby Alderweireld,be BEL,DF,eng Tottenham,28,1989,4,4,294,0,1,0,0,0,0,0,0.31,0.31,0,0.31
19,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,18,1998,10,9,820,1,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22
20,Nektarios Alexandrou,cy CYP,DF,cy APOEL FC,33,1983,2,1,52,0,0,0,0,0,0,0,0,0,0,0
21,Alisson,br BRA,GK,it Roma,24,1992,12,12,"1,080",0,0,0,0,0,0,0,0,0,0,0
22,Allan,br BRA,MF,it Napoli,26,1991,6,3,307,0,0,0,0,0,0,0,0,0,0,0
23,Dele Alli,eng ENG,"MF,FW",eng Tottenham,21,1996,5,5,428,2,3,0,0,1,0,0.42,0.63,1.05,0.42,1.05
24,André Almeida Pinto,pt POR,DF,pt Sporting CP,27,1989,2,2,180,0,0,0,0,1,0,0,0,0,0,0
25,André Almeida,pt POR,DF,pt Benfica,26,1990,4,3,259,0,0,0,0,1,1,0,0,0,0,0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
26,Richard Almeida,az AZE,MF,az Qaraba_ FK,28,1989,6,6,540,0,0,0,0,0,0,0,0,0,0,0
27,Stathis Aloneftis,cy CYP,"MF,FW",cy APOEL FC,34,1983,6,6,502,0,0,0,0,0,0,0,0,0,0,0
28,Marcos Alonso,es ESP,"MF,DF",eng Chelsea,26,1990,7,7,598,0,1,0,0,2,0,0,0.15,0.15,0,0.15
29,Éder Álvarez Balanta,co COL,DF,ch Basel,24,1993,6,6,530,0,0,0,0,2,0,0,0,0,0,0
30,Dani Alves,br BRA,DF,fr Paris S-G,34,1983,8,8,720,2,0,0,0,0,0,0.25,0,0.25,0.25,0.25
31,Sofyan Amrabat,ma MAR,MF,nl Feyenoord,20,1996,6,6,528,1,0,0,0,1,0,0.17,0,0.17,0.17,0.17
32,André André,pt POR,"MF,FW",pt Porto,27,1989,4,2,225,0,0,0,0,3,0,0,0,0,0,0
33,Thanasis Androutsos,gr GRE,MF,gr Olympiacos,20,1997,1,1,90,0,0,0,0,0,0,0,0,0,0,0
34,Minas Antoniou,cy CYP,FW,cy APOEL FC,23,1994,1,0,9,0,0,0,0,0,0,0,0,0,0,0
35,Mirko Antonucci,it ITA,MF,it Roma,18,1999,1,0,15,0,0,0,0,0,0,0,0,0,0,0
36,Dennis Appiah,fr FRA,"DF,MF",be Anderlecht,25,1992,6,5,514,0,0,0,0,0,0,0,0,0,0,0
37,Alphonse Areola,fr FRA,GK,fr Paris S-G,24,1993,8,8,720,0,0,0,0,0,0,0,0,0,0,0
38,Stuart Armstrong,sco SCO,MF,sco Celtic,25,1992,4,4,236,0,0,0,0,0,0,0,0,0,0,0
39,Tolgay Arslan,de GER,MF,tr Be_ikta_,26,1990,6,4,323,0,0,0,0,2,0,0,0,0,0,0
40,Kwadwo Asamoah,gh GHA,DF,it Juventus,28,1988,3,1,99,0,0,0,0,0,0,0,0,0,0,0
41,Marco Asensio,es ESP,MF,es Real Madrid,21,1996,12,3,472,1,1,0,0,0,0,0.19,0.19,0.38,0.19,0.38
42,Pierre-Emerick Aubameyang,ga GAB,FW,de Dortmund,28,1989,6,6,540,4,0,0,0,0,0,0.67,0,0.67,0.67,0.67
43,Jean-Kévin Augustin,fr FRA,FW,de RB Leipzig,20,1997,5,4,341,1,0,0,0,1,0,0.26,0,0.26,0.26,0.26
44,Filipe Augusto,br BRA,MF,pt Benfica,23,1993,3,3,237,0,0,0,0,0,0,0,0,0,0,0
45,Serge Aurier,ci CIV,"DF,MF",eng Tottenham,24,1992,6,6,507,0,1,0,0,3,0,0,0.18,0.18,0,0.18
46,Márcio Azevedo,br BRA,DF,ua Shakhtar,31,1986,1,0,26,0,0,0,0,0,0,0,0,0,0,0
47,César Azpilicueta,es ESP,"DF,MF",eng Chelsea,27,1989,8,8,705,1,0,0,0,0,0,0.13,0,0.13,0.13,0.13
48,Ryan Babel,nl NED,MF,tr Be_ikta_,30,1986,7,6,555,2,1,0,0,0,0,0.32,0.16,0.49,0.32,0.49
49,Eric Bailly,ci CIV,DF,eng Manchester Utd,23,1994,3,3,270,0,0,0,0,1,0,0,0,0,0,0
50,Gregor Bajde,si SVN,MF,si NK Maribor,23,1994,4,3,248,0,0,0,0,0,0,0,0,0,0,0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
51,Tiemoué Bakayoko,fr FRA,MF,eng Chelsea,22,1994,5,4,361,1,1,0,0,1,0,0.25,0.25,0.5,0.25,0.5
52,Keita Baldé,sn SEN,"FW,MF",fr Monaco,22,1995,6,3,289,0,2,0,0,1,0,0,0.62,0.62,0,0.62
53,Gareth Bale,wal WAL,FW,es Real Madrid,28,1989,7,3,297,3,2,0,0,1,0,0.91,0.61,1.52,0.91,1.52
54,Éver Banega,ar ARG,MF,es Sevilla,29,1988,9,9,792,1,2,0,0,4,0,0.11,0.23,0.34,0.11,0.34
55,Gabriel Barbosa,br BRA,"FW,MF",pt Benfica,20,1996,2,0,30,0,0,0,0,0,0,0,0,0,0,0
56,Marc Bartra,es ESP,"DF,MF",de Dortmund,26,1991,4,4,350,0,0,0,0,1,0,0,0,0,0,0
57,Andrea Barzagli,it ITA,DF,it Juventus,36,1981,8,7,654,0,0,0,0,1,0,0,0,0,0,0
58,Bilal Ba_açıko_lu,tr TUR,"FW,MF",nl Feyenoord,22,1995,2,0,29,0,0,0,0,0,0,0,0,0,0,0
59,Michy Batshuayi,be BEL,FW,eng Chelsea,23,1993,4,1,122,2,0,0,0,0,0,1.48,0,1.48,1.48,1.48
