Rk,Player,Nation,Pos,Squad,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls2,Ast3,G+A,G-PK,G+A-PK,xG,npxG,xA,xG4,xA5,xG+xA,npxG6,npxG+xA
3,Sergio Agüero,ar ARG,FW,Manchester_City,1988,7,6,510,6,1,1,2,3,0,1.06,0.18,1.24,0.88,1.06,5.5,3.9,0.3,0.96,0.05,1.02,0.7,0.75
17,Toby Alderweireld,be BEL,DF,Tottenham,1989,12,12,"1,080",0,0,0,0,2,0,0,0,0,0,0,0.5,0.5,0.2,0.04,0.02,0.06,0.04,0.06
20,Trent Alexander-Arnold,eng ENG,DF,Liverpool,1998,11,11,921,0,2,0,0,0,0,0,0.2,0.2,0,0.2,0.4,0.4,2.9,0.04,0.29,0.33,0.04,0.33
21,Alisson,br BRA,GK,Liverpool,1992,13,13,"1,170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Dele Alli,eng ENG,MF,Tottenham,1996,8,8,709,0,3,0,0,0,0,0,0.38,0.38,0,0.38,1.9,1.9,1.7,0.25,0.22,0.47,0.25,0.47
36,Serge Aurier,ci CIV,DF,Tottenham,1992,5,5,435,0,1,0,0,1,0,0,0.21,0.21,0,0.21,0,0,0.3,0.01,0.07,0.08,0.01,0.08
41,Eric Bailly,ci CIV,DF,Manchester_Utd,1994,4,4,306,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.06,0,0.06,0.06,0.06
113,Tahith Chong,nl NED,MF,Manchester_Utd,1999,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Diogo Dalot,pt POR,"DF,MF",Manchester_Utd,1999,4,2,243,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.04,0.01,0.05,0.04,0.05
139,Danilo,br BRA,DF,Manchester_City,1991,2,1,119,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0,0.04,0.04,0,0.04
140,Ben Davies,wal WAL,DF,Tottenham,1993,9,6,567,0,1,0,0,0,0,0,0.16,0.16,0,0.16,0.2,0.2,0.5,0.04,0.08,0.12,0.04,0.12
141,Kevin De Bruyne,be BEL,MF,Manchester_City,1991,4,3,247,0,4,0,0,0,0,0,1.46,1.46,0,1.46,0.4,0.4,0.6,0.16,0.23,0.39,0.16,0.39
147,Fabian Delph,eng ENG,"DF,MF",Manchester_City,1989,6,2,257,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.06,0,0.06,0.06,0.06
148,Mousa Dembélé,be BEL,MF,Tottenham,1987,2,2,164,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.04,0.05,0.09,0.04,0.09
166,Eric Dier,eng ENG,MF,Tottenham,1994,6,2,267,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.1,0.05,0.04,0.09,0.05,0.09
167,Virgil van Dijk,nl NED,DF,Liverpool,1991,12,12,"1,080",2,2,0,0,3,0,0.17,0.17,0.33,0.17,0.33,0.8,0.8,0.4,0.06,0.03,0.09,0.06,0.09
