Rk,Player,Nation,Pos,Squad,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls2,Ast3,G+A,G-PK,G+A-PK,xG,npxG,xA,xG4,xA5,xG+xA,npxG6,npxG+xA
1,Tammy Abraham,eng ENG,FW,Chelsea,7,6,487,2,1,0,0,0,0,0.37,0.18,0.55,0.37,0.55,3.9,3.9,0.5,0.73,0.09,0.82,0.73,0.82
3,Adrián,es ESP,GK,Liverpool,2,2,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Sergio Agüero,ar ARG,FW,Manchester City,3,2,196,2,0,1,1,0,0,0.92,0,0.92,0.46,0.46,2.7,1.9,0,1.23,0.02,1.25,0.89,0.9
11,Toby Alderweireld,be BEL,DF,Tottenham,5,5,450,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0,0.02,0.02,0,0.02
13,Trent Alexander-Arnold,eng ENG,DF,Liverpool,6,5,462,0,1,0,0,0,0,0,0.19,0.19,0,0.19,0.2,0.2,1,0.03,0.2,0.23,0.03,0.23
14,Alisson,br BRA,GK,Liverpool,5,5,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Dele Alli,eng ENG,"MF,FW",Tottenham,6,6,432,1,1,0,0,0,0,0.21,0.21,0.42,0.21,0.42,1,1,1.2,0.2,0.24,0.44,0.2,0.44
18,Marcos Alonso,es ESP,DF,Chelsea,5,5,397,0,0,0,0,0,1,0,0,0,0,0,0.7,0.7,0.3,0.15,0.07,0.22,0.15,0.22
28,Angeliño,es ESP,DF,Manchester City,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.02,0.15,0.17,0.02,0.17
36,Kepa Arrizabalaga,es ESP,GK,Chelsea,6,6,540,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Serge Aurier,ci CIV,DF,Tottenham,4,4,360,1,2,0,0,0,0,0.25,0.5,0.75,0.25,0.75,0.1,0.1,1.6,0.03,0.39,0.43,0.03,0.43
42,César Azpilicueta,es ESP,DF,Chelsea,7,7,613,2,0,0,0,2,0,0.29,0,0.29,0.29,0.29,1.2,1.2,0.6,0.18,0.09,0.27,0.18,0.27
50,Ross Barkley,eng ENG,"FW,MF",Chelsea,2,1,71,0,0,0,1,0,0,0,0,0,0,0,0.8,0,0,1,0,1,0.04,0.04
53,Michy Batshuayi,be BEL,FW,Chelsea,4,0,85,1,0,0,0,0,0,1.06,0,1.06,1.06,1.06,1.6,1.6,0.1,1.73,0.14,1.86,1.73,1.86
65,Steven Bergwijn,nl NED,"MF,FW",Tottenham,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.25,0.03,0.28,0.25,0.28
84,Claudio Bravo,cl CHI,GK,Manchester City,2,1,125,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Willy Caballero,ar ARG,GK,Chelsea,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,João Cancelo,pt POR,DF,Manchester City,6,4,388,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.2,0.03,0.05,0.07,0.03,0.07
112,Andreas Christensen,dk DEN,DF,Chelsea,3,3,270,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.02,0,0.02,0.02,0.02
138,Ben Davies,wal WAL,DF,Tottenham,3,3,270,0,1,0,0,1,0,0,0.33,0.33,0,0.33,0,0,0.6,0,0.19,0.19,0,0.19
139,Kevin De Bruyne,be BEL,MF,Manchester City,5,5,394,1,2,1,1,1,0,0.23,0.46,0.69,0,0.46,1.4,0.6,1.8,0.31,0.41,0.73,0.14,0.56
166,Eric Dier,eng ENG,"MF,DF",Tottenham,4,3,222,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0,0.17,0,0.17,0.17,0.17
167,Virgil van Dijk,nl NED,DF,Liverpool,7,7,630,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.05,0.02,0.08,0.05,0.08
182,Ederson,br BRA,GK,Manchester City,6,6,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,Christian Eriksen,dk DEN,MF,Tottenham,5,2,295,1,1,0,0,0,0,0.31,0.31,0.61,0.31,0.61,0.7,0.7,1.6,0.2,0.5,0.7,0.2,0.7
189,Fabinho,br BRA,MF,Liverpool,6,6,469,0,1,0,0,1,0,0,0.19,0.19,0,0.19,0.2,0.2,0.4,0.03,0.07,0.1,0.03,0.1
197,Gedson Fernandes,pt POR,MF,Tottenham,1,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0.06,0.06
199,Fernandinho,br BRA,DF,Manchester City,6,5,507,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0,0.02,0,0.02,0.02,0.02
200,Roberto Firmino,br BRA,"FW,MF",Liverpool,7,6,516,0,3,0,0,0,0,0,0.52,0.52,0,0.52,0.6,0.6,2,0.1,0.35,0.45,0.1,0.45
202,Phil Foden,eng ENG,MF,Manchester City,4,2,185,2,2,0,0,2,1,0.97,0.97,1.95,0.97,1.95,0.7,0.7,1.6,0.33,0.79,1.12,0.33,1.12
205,Juan Foyth,ar ARG,DF,Tottenham,3,2,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,Eric García,es ESP,DF,Manchester City,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,Paulo Gazzaniga,ar ARG,GK,Tottenham,4,4,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,Olivier Giroud,fr FRA,FW,Chelsea,2,1,78,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.11,0.05,0.16,0.11,0.16
225,Joe Gomez,eng ENG,DF,Liverpool,6,4,391,0,0,0,0,2,0,0,0,0,0,0,0,0,0.1,0,0.03,0.03,0,0.03
239,_lkay Gündo_an,de GER,MF,Manchester City,7,7,630,2,2,0,0,0,0,0.29,0.29,0.57,0.29,0.57,1.8,1.8,0.9,0.26,0.13,0.4,0.26,0.4
246,Taylor Harwood-Bellis,eng ENG,DF,Manchester City,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,Jordan Henderson,eng ENG,MF,Liverpool,5,5,409,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.03,0.11,0.14,0.03,0.14
257,Son Heung-min,kr KOR,FW,Tottenham,6,4,365,5,2,0,0,0,0,1.23,0.49,1.73,1.23,1.73,3.5,3.5,0.9,0.86,0.22,1.08,0.86,1.08
264,Callum Hudson-Odoi,eng ENG,FW,Chelsea,4,1,171,0,1,0,0,0,0,0,0.53,0.53,0,0.53,0.3,0.3,0.4,0.18,0.22,0.4,0.18,0.4
282,Reece James,eng ENG,DF,Chelsea,5,3,292,1,0,0,0,1,0,0.31,0,0.31,0.31,0.31,0.1,0.1,0.6,0.05,0.18,0.23,0.05,0.23
284,Gabriel Jesus,br BRA,"FW,MF",Manchester City,6,5,410,5,2,0,1,0,0,1.1,0.44,1.54,1.1,1.54,3.7,3,1.8,0.82,0.39,1.21,0.66,1.04
287,Jorginho,it ITA,MF,Chelsea,7,7,612,2,0,2,2,3,0,0.29,0,0.29,0,0,1.7,0.2,0.5,0.26,0.07,0.32,0.03,0.1
295,Harry Kane,eng ENG,FW,Tottenham,5,5,450,6,0,2,2,1,0,1.2,0,1.2,0.8,0.8,4.6,3.1,0.7,0.92,0.14,1.06,0.61,0.75
297,N'Golo Kanté,fr FRA,MF,Chelsea,3,3,270,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.9,0.11,0.29,0.4,0.11,0.4
300,Naby Keïta,gn GUI,"MF,FW",Liverpool,4,3,251,1,0,0,0,0,0,0.36,0,0.36,0.36,0.36,0.8,0.8,0.6,0.3,0.21,0.51,0.3,0.51
319,Mateo Kova_i_,hr CRO,MF,Chelsea,7,6,522,1,0,0,0,0,0,0.17,0,0.17,0.17,0.17,0.5,0.5,1.1,0.08,0.19,0.27,0.08,0.27
332,Érik Lamela,ar ARG,"FW,MF",Tottenham,4,1,139,1,2,0,0,1,0,0.65,1.29,1.94,0.65,1.94,1.5,1.5,0.2,1,0.12,1.12,1,1.12
334,Aymeric Laporte,fr FRA,DF,Manchester City,1,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,Hugo Lloris,fr FRA,GK,Tottenham,3,3,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,Giovani Lo Celso,ar ARG,"FW,MF",Tottenham,4,3,252,1,0,0,0,2,0,0.36,0,0.36,0.36,0.36,0.6,0.6,0.7,0.22,0.26,0.47,0.22,0.47
351,Dejan Lovren,hr CRO,DF,Liverpool,3,3,233,1,0,0,0,0,0,0.39,0,0.39,0.39,0.39,0.1,0.1,0.3,0.02,0.11,0.13,0.02,0.13
364,Riyad Mahrez,dz ALG,"FW,MF",Manchester City,6,6,538,1,4,0,0,0,0,0.17,0.67,0.84,0.17,0.84,2.2,2.2,2.5,0.37,0.42,0.79,0.37,0.79
373,Sadio Mané,sn SEN,FW,Liverpool,7,6,510,2,2,0,0,2,0,0.35,0.35,0.71,0.35,0.71,2.2,2.2,1.3,0.39,0.23,0.62,0.39,0.62
394,Joël Matip,cm CMR,DF,Liverpool,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,Benjamin Mendy,fr FRA,DF,Manchester City,6,5,438,0,1,0,0,3,0,0,0.21,0.21,0,0.21,0.1,0.1,1.2,0.01,0.24,0.25,0.01,0.25
413,James Milner,eng ENG,"MF,DF",Liverpool,7,4,377,0,1,0,0,1,0,0,0.24,0.24,0,0.24,0.2,0.2,0.4,0.05,0.09,0.14,0.05,0.14
425,Mason Mount,eng ENG,"MF,FW",Chelsea,7,5,361,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.3,0.2,0.08,0.28,0.2,0.28
426,Lucas Moura,br BRA,FW,Tottenham,5,4,311,1,1,0,0,0,0,0.29,0.29,0.58,0.29,0.58,0.6,0.6,0.4,0.17,0.11,0.28,0.17,0.28
438,Tanguy Ndombele,fr FRA,MF,Tottenham,6,4,339,0,2,0,0,1,0,0,0.53,0.53,0,0.53,0.4,0.4,0.9,0.1,0.23,0.34,0.1,0.34
461,Divock Origi,be BEL,FW,Liverpool,5,1,173,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.14,0.04,0.18,0.14,0.18
466,Nicolás Otamendi,ar ARG,DF,Manchester City,7,6,555,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0,0.04,0,0.04,0.04,0.04
467,Alex Oxlade-Chamberlain,eng ENG,"FW,MF",Liverpool,4,2,200,3,0,0,0,0,0,1.35,0,1.35,1.35,1.35,0.6,0.6,0.2,0.26,0.1,0.37,0.26,0.37
471,Emerson Palmieri,it ITA,DF,Chelsea,2,1,108,0,1,0,0,0,0,0,0.83,0.83,0,0.83,0.1,0.1,0.2,0.11,0.16,0.26,0.11,0.26
482,Pedro,es ESP,"FW,DF",Chelsea,3,0,96,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.08,0,0.08,0.08,0.08
500,Christian Pulisic,us USA,FW,Chelsea,4,3,266,1,1,0,0,0,0,0.34,0.34,0.68,0.34,0.68,0.9,0.9,1.4,0.31,0.47,0.78,0.31,0.78
521,Andrew Robertson,sco SCO,DF,Liverpool,7,6,529,1,0,0,0,2,0,0.17,0,0.17,0.17,0.17,0.7,0.7,0.2,0.11,0.04,0.15,0.11,0.15
523,Rodri,es ESP,MF,Manchester City,6,6,453,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0,0.06,0.01,0.07,0.06,0.07
529,Danny Rose,eng ENG,DF,Tottenham,4,4,360,0,1,0,0,0,0,0,0.25,0.25,0,0.25,0,0,0.7,0,0.17,0.17,0,0.17
530,Antonio Rüdiger,de GER,DF,Chelsea,2,2,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02
537,Mohamed Salah,eg EGY,FW,Liverpool,7,7,612,4,2,0,0,0,0,0.59,0.29,0.88,0.59,0.88,4.6,4.6,1.2,0.67,0.17,0.84,0.67,0.84
542,Davinson Sánchez,co COL,DF,Tottenham,5,5,450,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.05,0.02,0.07,0.05,0.07
559,Ryan Sessegnon,eng ENG,FW,Tottenham,2,1,105,1,1,0,0,0,0,0.86,0.86,1.71,0.86,1.71,0.3,0.3,0.4,0.3,0.3,0.6,0.3,0.6
561,Xherdan Shaqiri,ch SUI,MF,Liverpool,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564,Bernardo Silva,pt POR,"FW,MF",Manchester City,6,5,412,0,1,0,0,1,0,0,0.22,0.22,0,0.22,0.3,0.3,0.4,0.07,0.08,0.15,0.07,0.15
565,David Silva,es ESP,MF,Manchester City,2,1,110,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.4,0.18,0.57,0.4,0.57
569,Moussa Sissoko,fr FRA,"MF,FW",Tottenham,6,4,417,0,1,0,0,0,0,0,0.22,0.22,0,0.22,0.2,0.2,0.2,0.04,0.04,0.07,0.04,0.07
571,Oliver Skipp,eng ENG,"MF,FW",Tottenham,2,0,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
585,Raheem Sterling,eng ENG,FW,Manchester City,7,4,428,5,2,0,0,0,0,1.05,0.42,1.47,1.05,1.47,3.8,3.8,2.1,0.8,0.43,1.24,0.8,1.24
587,John Stones,eng ENG,DF,Manchester City,1,0,49,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.3,0,0.3,0.3,0.3
615,Fikayo Tomori,eng ENG,DF,Chelsea,4,4,360,0,1,0,0,1,0,0,0.25,0.25,0,0.25,0.4,0.4,0.4,0.1,0.11,0.21,0.1,0.21
