,Player,Pos,Squad,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
0,Alisson,GK,Liverpool,38,38,3420.0,22,0.58,96,74,0.7709999999999999,30,7,1,21,55.3,1,0,0,1
1,Kepa Arrizabalaga,GK,Chelsea,36,36,3240.0,39,1.08,117,78,0.675,20,8,8,14,38.9,2,1,1,0
2,Asmir Begović,GK,Bournemouth,24,24,2160.0,47,1.96,101,58,0.5539999999999999,8,3,13,5,20.8,2,2,0,0
3,Marcus Bettinelli,GK,Fulham,7,7,630.0,20,2.86,38,19,0.5,1,2,4,0,0.0,3,1,1,1
4,Artur Boruc,GK,Bournemouth,12,12,1080.0,18,1.5,52,36,0.7120000000000001,4,3,5,4,33.3,3,3,0,0
5,David Button,GK,Brighton,4,4,360.0,5,1.25,15,12,0.8,1,1,2,1,25.0,2,2,0,0
6,Willy Caballero,GK,Chelsea,2,2,180.0,0,0.0,3,3,1.0,1,1,0,2,100.0,0,0,0,0
7,Petr Čech,GK,Arsenal,7,7,585.0,9,1.38,36,27,0.75,5,0,2,2,28.6,0,0,0,0
8,Joel Coleman,GK,Huddersfield,1,1,90.0,1,1.0,3,1,0.667,0,1,0,0,0.0,0,0,0,0
9,Martin Dúbravka,GK,Newcastle Utd,38,38,3420.0,48,1.26,135,94,0.6890000000000001,12,9,17,11,28.9,6,6,0,0
10,Ederson,GK,Manchester City,38,38,3420.0,23,0.61,76,57,0.75,32,2,4,20,52.6,4,4,0,0
11,Neil Etheridge,GK,Cardiff City,38,38,3420.0,69,1.82,201,135,0.677,10,4,24,10,26.3,7,4,3,0
12,Łukasz Fabiański,GK,West Ham,38,38,3420.0,55,1.45,191,139,0.733,15,7,16,7,18.4,5,4,1,0
13,Fabricio,GK,Fulham,2,2,180.0,5,2.5,23,18,0.7829999999999999,0,0,2,0,0.0,0,0,0,0
14,Fraser Forster,GK,Southampton,1,1,90.0,3,3.0,6,3,0.5,0,0,1,0,0.0,0,0,0,0
15,Ben Foster,GK,Watford,38,38,3420.0,59,1.55,173,118,0.682,14,8,16,7,18.4,5,4,1,0
16,Paulo Gazzaniga,GK,Tottenham,3,3,270.0,2,0.67,13,11,0.846,2,0,1,1,33.3,0,0,0,0
17,David de Gea,GK,Manchester Utd,38,38,3420.0,54,1.42,169,124,0.716,19,9,10,7,18.4,6,6,0,0
18,Vicente Guaita,GK,Crystal Palace,20,20,1755.0,23,1.18,82,60,0.732,10,4,6,7,35.0,1,1,0,0
19,Angus Gunn,GK,Southampton,12,12,1080.0,18,1.5,48,30,0.625,4,4,4,3,25.0,1,0,1,0
20,Ben Hamer,GK,Huddersfield,7,7,553.0,21,3.42,37,20,0.514,0,1,6,1,14.3,3,3,0,0
21,Joe Hart,GK,Burnley,19,19,1710.0,41,2.16,117,78,0.6579999999999999,3,3,13,4,21.1,2,1,1,0
22,Tom Heaton,GK,Burnley,19,19,1710.0,27,1.42,82,59,0.6829999999999999,8,4,7,4,21.1,1,1,0,0
23,Wayne Hennessey,GK,Crystal Palace,18,17,1575.0,26,1.49,65,42,0.6459999999999999,4,3,10,5,29.4,4,3,1,0
24,Bernd Leno,GK,Arsenal,32,31,2835.0,42,1.33,139,105,0.748,16,7,8,7,22.6,7,7,0,0
25,Hugo Lloris,GK,Tottenham,33,33,2970.0,33,1.0,122,94,0.754,21,2,10,12,36.4,5,3,2,0
26,Jonas Lössl,GK,Huddersfield,31,30,2777.0,54,1.75,137,87,0.635,3,5,22,5,16.7,5,4,1,0
27,Alex McCarthy,GK,Southampton,25,25,2250.0,44,1.76,116,77,0.638,5,8,12,4,16.0,2,2,0,0
28,Will Norris,GK,Wolves,1,0,,0,,0,0,,0,0,0,1,,0,0,0,0
29,Rui Patrício,GK,Wolves,37,37,3330.0,46,1.24,138,98,0.688,15,9,13,8,21.6,4,3,0,1
30,Jordan Pickford,GK,Everton,38,38,3420.0,46,1.21,128,86,0.6559999999999999,15,9,14,14,36.8,5,2,3,0
31,Sergio Rico,GK,Fulham,29,29,2610.0,56,1.93,161,110,0.677,6,3,20,5,17.2,4,4,0,0
32,John Ruddy,GK,Wolves,1,1,90.0,0,0.0,3,3,1.0,1,0,0,1,100.0,0,0,0,0
33,Mathew Ryan,GK,Brighton,34,34,3060.0,55,1.62,140,93,0.664,8,8,18,6,17.6,8,8,0,0
34,Kasper Schmeichel,GK,Leicester City,38,38,3420.0,48,1.26,139,96,0.691,15,7,16,10,26.3,5,5,0,0
35,Julián Speroni,GK,Crystal Palace,1,1,90.0,4,4.0,9,5,0.556,0,0,1,0,0.0,0,0,0,0
36,Mark Travers,GK,Bournemouth,2,2,180.0,5,2.5,13,9,0.615,1,0,1,1,50.0,0,0,0,0
37,Michel Vorm,GK,Tottenham,2,2,180.0,4,2.0,13,9,0.6920000000000001,0,0,2,0,0.0,0,0,0,0
