Player,Pos,Squad,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Adrián,GK,Liverpool,10,8,783,9,1.03,25,16,0.64,8,0,0,2,25.0,0,0,0,0
Alisson,GK,Liverpool,20,20,1734,11,0.57,56,45,0.804,18,1,1,10,50.0,0,0,0,0
Kepa Arrizabalaga,GK,Chelsea,24,24,2160,32,1.33,69,41,0.565,12,4,8,5,20.8,2,2,0,0
Claudio Bravo,GK,Manchester City,4,3,346,7,1.82,15,8,0.5329999999999999,2,0,1,1,33.3,0,0,0,0
Willy Caballero,GK,Chelsea,4,4,360,7,1.75,15,9,0.5329999999999999,1,2,1,0,0.0,0,0,0,0
Martin Dúbravka,GK,Newcastle Utd,28,28,2520,41,1.46,149,108,0.725,8,8,12,8,28.6,0,0,0,0
Ederson,GK,Manchester City,24,24,2081,22,0.95,65,44,0.6920000000000001,16,3,5,9,37.5,2,2,0,0
Łukasz Fabiański,GK,West Ham,15,15,1219,21,1.55,60,42,0.6829999999999999,5,4,6,4,26.7,3,2,1,0
Ralf Fährmann,GK,Norwich City,1,1,22,1,4.09,1,1,1.0,0,0,1,0,0.0,1,1,0,0
Ben Foster,GK,Watford,28,28,2520,43,1.54,119,81,0.6890000000000001,6,9,13,9,32.1,6,6,0,0
Paulo Gazzaniga,GK,Tottenham,18,17,1612,26,1.45,79,56,0.7090000000000001,5,5,7,2,11.8,4,3,1,0
David de Gea,GK,Manchester Utd,28,28,2520,30,1.07,97,68,0.701,11,9,8,7,25.0,1,1,0,0
Vicente Guaita,GK,Crystal Palace,26,26,2340,28,1.08,109,82,0.743,9,8,9,8,30.8,1,0,0,1
Angus Gunn,GK,Southampton,10,10,900,25,2.5,53,30,0.5660000000000001,2,2,6,2,20.0,2,2,0,0
Tom Heaton,GK,Aston Villa,20,20,1795,35,1.75,99,67,0.677,6,3,11,4,20.0,3,3,0,0
Dean Henderson,GK,Sheffield Utd,26,26,2340,22,0.85,88,66,0.75,10,9,7,9,34.6,2,0,1,1
Wayne Hennessey,GK,Crystal Palace,2,2,180,4,2.0,15,11,0.733,0,1,1,0,0.0,0,0,0,0
Tim Krul,GK,Norwich City,26,26,2340,44,1.69,129,87,0.682,5,6,15,5,19.2,5,3,2,0
Bernd Leno,GK,Arsenal,27,27,2430,36,1.33,130,97,0.762,8,13,6,6,22.2,6,5,1,0
Hugo Lloris,GK,Tottenham,11,11,908,13,1.29,52,40,0.769,6,2,3,2,18.2,2,1,1,0
David Martin,GK,West Ham,5,4,435,6,1.24,20,14,0.7,2,0,2,2,50.0,0,0,0,0
Alex McCarthy,GK,Southampton,18,18,1620,26,1.44,77,52,0.675,8,2,8,4,22.2,1,1,0,0
Michael McGovern,GK,Norwich City,2,1,158,6,3.42,11,5,0.455,0,0,1,0,0.0,1,0,1,0
Simon Moore,GK,Sheffield Utd,1,1,90,3,3.0,5,2,0.4,0,1,0,0,0.0,0,0,0,0
Ørjan Nyland,GK,Aston Villa,3,1,177,8,4.07,15,7,0.467,0,0,1,0,0.0,0,0,0,0
Rui Patrício,GK,Wolves,28,28,2520,34,1.21,101,67,0.6629999999999999,10,12,6,7,25.0,2,0,2,0
Jordan Pickford,GK,Everton,28,28,2520,42,1.5,107,68,0.617,10,7,11,6,21.4,1,1,0,0
Nick Pope,GK,Burnley,28,28,2520,39,1.39,119,81,0.6890000000000001,11,5,12,11,39.3,3,2,1,0
Aaron Ramsdale,GK,Bournemouth,27,27,2430,42,1.56,131,93,0.71,7,6,14,4,14.8,4,4,0,0
Darren Randolph,GK,West Ham,2,2,180,5,2.5,9,5,0.556,0,1,1,0,0.0,1,1,0,0
Pepe Reina,GK,Aston Villa,5,5,450,9,1.8,28,19,0.679,1,1,3,0,0.0,1,0,1,0
Roberto,GK,West Ham,8,7,686,17,2.23,51,36,0.6859999999999999,0,1,6,0,0.0,1,1,0,0
Mathew Ryan,GK,Brighton,28,28,2520,40,1.43,126,91,0.698,6,10,12,5,17.9,2,2,0,0
Kasper Schmeichel,GK,Leicester City,28,28,2520,28,1.0,103,80,0.777,15,5,8,9,32.1,6,5,1,0
Jed Steer,GK,Aston Villa,1,1,8,0,0.0,0,0,,0,0,1,0,0.0,0,0,0,0
Mark Travers,GK,Bournemouth,1,1,90,3,3.0,5,2,0.4,0,0,1,0,0.0,0,0,0,0
