Player,Pos,Squad,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Adrián,GK,West Ham,19,19,1710.0,29,1.53,95,68,0.705,7,6,6,6,31.6,1,1,0,0
Asmir Begović,GK,Bournemouth,38,38,3420.0,61,1.61,172,113,0.657,11,11,16,6,15.8,4,2,1,1
Claudio Bravo,GK,Manchester City,3,2,226.0,1,0.4,5,4,0.8,2,0,0,1,50.0,0,0,0,0
Jack Butland,GK,Stoke City,35,35,3150.0,61,1.74,199,145,0.7190000000000001,7,11,17,6,17.1,5,5,0,0
Willy Caballero,GK,Chelsea,3,3,270.0,4,1.33,11,7,0.636,1,1,1,1,33.3,0,0,0,0
Petr Čech,GK,Arsenal,34,34,3039.0,48,1.42,129,86,0.667,16,6,12,11,32.4,6,5,1,0
Thibaut Courtois,GK,Chelsea,35,35,3150.0,34,0.97,105,75,0.695,20,6,9,15,42.9,2,2,0,0
Karl Darlow,GK,Newcastle Utd,10,10,900.0,15,1.5,45,35,0.733,1,5,4,2,20.0,3,3,0,0
Martin Dúbravka,GK,Newcastle Utd,12,12,1080.0,11,0.92,38,27,0.711,6,1,5,4,33.3,1,0,1,0
Ederson,GK,Manchester City,36,36,3194.0,26,0.73,79,54,0.6709999999999999,30,4,2,16,44.4,3,0,2,1
Rob Elliot,GK,Newcastle Utd,16,16,1440.0,21,1.31,62,43,0.677,5,2,9,3,18.8,2,1,1,0
Łukasz Fabiański,GK,Swansea City,38,38,3420.0,56,1.47,192,141,0.7240000000000001,8,9,21,9,23.7,7,3,3,1
Fraser Forster,GK,Southampton,20,20,1800.0,30,1.5,95,66,0.684,4,7,9,4,20.0,1,0,1,0
Ben Foster,GK,West Brom,37,37,3330.0,55,1.49,152,99,0.645,6,12,19,10,27.0,1,1,0,0
Paulo Gazzaniga,GK,Tottenham,1,1,90.0,0,0.0,3,3,1.0,1,0,0,1,100.0,0,0,0,0
David de Gea,GK,Manchester Utd,37,37,3330.0,28,0.76,141,116,0.809,24,6,7,18,48.6,1,1,0,0
Heurelho Gomes,GK,Watford,24,24,2128.0,40,1.69,98,62,0.622,7,5,12,5,20.8,3,3,0,0
Lee Grant,GK,Stoke City,3,3,270.0,7,2.33,14,7,0.5,0,1,2,1,33.3,0,0,0,0
Ben Hamer,GK,Leicester City,4,3,275.0,7,2.29,13,7,0.5379999999999999,0,1,2,1,33.3,1,1,0,0
