Player,Pos,Squad,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA
Tammy Abraham,FW,Swansea City,31,15,1726,6,1,0,0,0,0,0.31,0.05,0.37,0.31,0.37,6.4,6.4,0.8,0.33,0.04,0.38,0.33,0.38
Benik Afobe,FW,Bournemouth,17,5,611,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.8,1.8,0.0,0.31,0.01,0.31,0.31,0.31
Sergio Agüero,FW,Manchester City,25,22,1963,21,6,4,4,2,0,0.96,0.28,1.24,0.78,1.05,17.3,14.3,6.2,0.79,0.28,1.07,0.65,0.93
Nordin Amrabat,FW,Watford,3,3,198,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.06,0.08,0.02,0.08
Michail Antonio,FW,West Ham,21,16,1354,3,1,0,0,1,0,0.2,0.07,0.27,0.2,0.27,2.2,2.2,0.9,0.15,0.06,0.21,0.15,0.21
Scott Arfield,FW,Burnley,18,15,1333,2,1,0,0,3,0,0.14,0.07,0.2,0.14,0.2,1.5,1.5,0.5,0.1,0.03,0.13,0.1,0.13
Marko Arnautović,FW,West Ham,31,28,2313,11,6,0,0,5,1,0.43,0.23,0.66,0.43,0.66,10.6,10.6,4.3,0.41,0.17,0.58,0.41,0.58
Pierre-Emerick Aubameyang,FW,Arsenal,13,12,1057,10,4,1,2,0,0,0.85,0.34,1.19,0.77,1.11,7.9,6.3,1.1,0.67,0.09,0.76,0.54,0.63
Charlie Austin,FW,Southampton,24,10,1037,7,0,1,1,2,0,0.61,0.0,0.61,0.52,0.52,7.8,7.1,0.2,0.69,0.02,0.71,0.62,0.64
André Ayew,FW,West Ham,18,9,895,3,2,0,1,2,0,0.3,0.2,0.5,0.3,0.5,2.6,1.8,0.3,0.26,0.03,0.29,0.19,0.21
André Ayew,FW,Swansea City,12,10,950,0,2,0,0,3,0,0.0,0.19,0.19,0.0,0.19,2.3,2.3,1.0,0.22,0.1,0.32,0.22,0.32
Jordan Ayew,FW,Swansea City,36,33,2852,7,2,1,1,2,1,0.22,0.06,0.28,0.19,0.25,6.3,5.6,1.2,0.2,0.04,0.24,0.18,0.21
Sam Baldock,FW,Brighton,2,0,32,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashley Barnes,FW,Burnley,36,21,2165,9,0,0,0,10,0,0.37,0.0,0.37,0.37,0.37,6.7,6.7,1.6,0.28,0.07,0.35,0.28,0.35
Michy Batshuayi,FW,Chelsea,12,3,360,2,1,0,0,0,0,0.5,0.25,0.75,0.5,0.75,1.1,1.1,0.1,0.27,0.04,0.31,0.27,0.31
Christian Benteke,FW,Crystal Palace,31,24,2240,3,5,1,2,6,0,0.12,0.2,0.32,0.08,0.28,9.5,8.0,3.1,0.38,0.13,0.51,0.32,0.45
Saido Berahino,FW,Stoke City,15,3,494,0,1,0,1,0,0,0.0,0.18,0.18,0.0,0.18,2.2,1.5,0.6,0.41,0.11,0.52,0.27,0.38
