Player,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xA,PKmiss,FantPts
Aaron Connolly,17.0,9.0,834.0,2.0,0.0,0.0,0.0,0.0,0.0,2.4,2.4,0.2,0.0,37.0
Aaron Lennon,15.5,11.5,1004.5,0.5,0.5,0.0,0.0,0.5,0.0,0.4,0.4,0.6,0.0,22.0
Aaron Rowe,2.0,1.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Abdelhamid Sabiri,2.0,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Aboubakar Kamara,13.0,5.0,690.0,3.0,0.0,1.0,2.0,2.0,0.0,3.7,2.2,0.8,1.0,34.0
Adam Idah,2.0,1.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Adama Diakhaby,12.0,6.0,551.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.4,0.0,10.0
Adama Traoré,27.5,14.5,1432.0,2.5,4.0,0.0,0.0,0.5,0.0,1.6,1.6,3.6,0.0,71.5
Ademola Lookman,21.0,3.0,601.0,0.0,2.0,0.0,0.0,0.0,0.0,1.4,1.4,1.2,0.0,31.0
Aleksandar Mitrović,21.5,18.5,1688.0,6.0,1.5,0.5,0.5,3.5,0.0,8.0,7.6,1.4,0.0,82.0
Alex Iwobi,30.5,22.0,1901.0,3.0,5.5,0.0,0.0,0.5,0.0,3.0,3.0,4.4,0.0,87.0
Alexander Sørloth,8.0,2.0,266.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.5,0.0,8.0
Alexandre Lacazette,28.7,22.7,1998.0,11.0,5.0,0.7,0.7,2.7,0.0,9.7,9.2,2.7,0.0,158.29999999999998
Alexis Sánchez,17.0,12.7,1141.0,3.7,3.0,0.3,0.7,2.7,0.0,3.9,3.4,3.5,0.39999999999999997,61.6
Alireza Jahanbakhsh,12.5,7.5,644.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.2,0.0,20.5
Allan Saint-Maximin,16.0,14.0,1172.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.1,0.0,31.0
Andre Gray,26.3,12.0,1189.3,4.7,1.3,0.0,0.0,1.3,0.0,4.9,4.9,1.6,0.0,77.2
Andriy Yarmolenko,9.0,5.0,460.0,2.0,0.0,0.0,0.0,2.0,0.0,1.1,1.1,0.5,0.0,25.0
Andros Townsend,37.0,34.5,3069.0,4.0,5.5,0.0,0.0,2.0,0.0,4.1,4.1,5.6,0.0,100.5
André Ayew,15.0,9.5,922.5,1.5,2.0,0.0,0.5,2.5,0.0,2.4,2.0,0.6,0.5,32.5
André Carrillo,28.0,16.0,1540.0,1.0,2.0,0.0,0.0,2.0,0.0,2.3,2.3,2.3,0.0,44.0
André Schürrle,24.0,21.0,1651.0,6.0,0.0,0.0,0.0,2.0,0.0,3.4,3.4,1.8,0.0,80.0
Andy Carroll,13.7,4.7,571.3,1.0,1.0,0.0,0.0,3.0,0.7,1.2,1.2,0.7,0.0,19.2
Anthony Knockaert,30.0,18.0,1833.0,2.0,6.0,0.0,0.0,4.0,1.0,2.6,2.6,4.3,0.0,67.0
Anthony Martial,26.0,18.7,1641.3,9.7,3.3,0.7,1.0,1.3,0.0,6.5,5.8,3.3,0.30000000000000004,135.4
Anwar El Ghazi,24.0,21.0,1657.0,4.0,4.0,1.0,1.0,3.0,0.0,5.5,4.7,2.5,0.0,78.0
Ashley Barnes,30.7,21.3,1971.0,9.0,0.7,1.0,1.0,7.3,0.0,7.9,7.1,1.9,0.0,109.60000000000001
Axel Tuanzebe,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ayoze Pérez,37.0,34.0,2929.0,12.0,2.0,0.0,0.0,2.0,0.0,7.7,7.7,3.3,0.0,163.0
Bakary Sako,10.0,2.0,251.5,1.5,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.6,0.0,25.0
Benik Afobe,17.0,5.0,611.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.8,0.0,0.0,17.0
Bernard,34.0,25.0,2128.0,1.0,3.0,0.0,0.0,5.0,0.0,2.8,2.8,3.1,0.0,49.0
Bernardo Silva,29.0,15.5,1486.0,5.5,4.5,0.0,0.0,2.5,0.0,4.0,4.0,2.8,0.0,101.5
Billy Sharp,17.0,5.0,594.0,2.0,0.0,0.0,0.0,1.0,1.0,1.4,1.4,1.2,0.0,30.0
Bobby Reid,27.0,16.0,1422.0,5.0,2.0,1.0,1.0,0.0,0.0,4.4,3.6,0.9,0.0,87.0
Brahim Díaz,5.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,5.0
Bukayo Saka,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Callum Hudson-Odoi,13.5,5.5,580.5,0.5,2.5,0.0,0.0,0.5,0.0,1.3,1.3,1.5,0.0,30.0
Callum Paterson,27.0,21.0,1996.0,5.0,1.0,1.0,1.0,4.0,0.0,5.3,4.5,2.0,0.0,74.0
Callum Robinson,16.0,9.0,676.0,1.0,1.0,0.0,0.0,1.0,0.0,2.1,2.1,0.5,0.0,29.0
Callum Wilson,28.0,25.3,2228.7,9.7,3.7,0.3,0.7,3.3,0.0,10.0,9.5,2.7,0.39999999999999997,134.9
Cenk Tosun,12.0,6.5,624.8,2.5,0.8,0.0,0.0,0.8,0.0,2.0,2.0,0.4,0.0,39.4
Charlie Austin,24.5,10.5,1008.5,4.5,1.0,0.5,1.0,1.5,0.0,5.7,5.0,0.3,0.5,69.0
Charly Musonda Jr.,3.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.0,3.0
Che Adams,21.0,8.0,712.0,0.0,2.0,0.0,0.0,0.0,0.0,1.9,1.9,0.9,0.0,31.0
Chris Wood,28.7,24.3,2055.3,10.0,1.3,0.0,0.0,1.3,0.0,8.2,8.2,1.2,0.0,132.6
Christian Atsu,18.0,6.0,733.0,0.0,3.0,0.0,0.0,2.0,0.0,0.2,0.2,1.0,0.0,29.0
Christian Benteke,21.7,13.3,1265.0,1.7,2.0,0.3,0.7,3.0,0.0,5.2,4.7,1.9,0.39999999999999997,40.7
Christian Pulisic,16.0,12.0,1076.0,5.0,2.0,0.0,0.0,0.0,0.0,5.1,5.1,2.1,0.0,76.0
Collin Quaner,14.0,6.5,658.5,0.0,2.0,0.0,0.0,2.0,0.0,0.6,0.6,1.4,0.0,20.0
Connor Wickham,6.0,0.0,75.5,0.5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,0.0,16.0
Daniel James,26.0,24.0,2085.0,3.0,6.0,0.0,0.0,3.0,0.0,2.9,2.9,4.0,0.0,80.0
Daniel Podence,2.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,2.0
Daniel Sturridge,11.0,3.7,348.3,1.3,0.7,0.0,0.0,0.3,0.0,1.4,1.4,0.7,0.0,26.9
Danny Ings,19.7,16.0,1271.0,7.7,1.3,1.0,1.0,1.0,0.0,7.3,6.6,1.5,0.0,101.2
Danny Ward,14.0,4.0,440.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.2,0.0,24.0
Danny Welbeck,14.7,5.3,534.0,2.0,1.0,0.0,0.0,0.3,0.0,1.9,1.9,0.6,0.0,39.099999999999994
David McGoldrick,20.0,16.0,1342.0,0.0,2.0,0.0,0.0,2.0,0.0,5.6,5.6,1.5,0.0,26.0
Demarai Gray,34.0,23.0,1995.0,4.0,1.0,0.0,0.0,2.0,0.0,4.1,4.1,0.7,0.0,75.0
Denis Suárez,4.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Diafra Sakho,14.0,0.0,306.0,2.0,0.0,0.0,0.0,2.0,0.0,1.5,1.5,0.0,0.0,30.0
Diogo Jota,28.0,24.0,1994.5,7.0,2.5,0.0,0.0,7.0,0.0,7.8,7.8,3.0,0.0,96.5
Divock Origi,11.0,3.0,289.0,2.0,0.7,0.0,0.0,0.0,0.0,1.4,1.4,0.1,0.0,34.5
Dominic Calvert-Lewin,30.7,19.0,1800.7,7.3,3.0,0.0,0.0,4.3,0.0,7.0,7.0,1.3,0.0,110.10000000000001
Dominic Solanke,18.0,6.3,698.0,0.3,1.0,0.0,0.0,0.3,0.0,2.0,2.0,1.2,0.0,25.4
