Player,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xA,PKmiss,FantPts
Aaron Connolly,17,9,834.0,2,0,0,0,0,0,2.4,2.4,0.2,0,37
Adam Idah,2,1,65.0,0,0,0,0,0,0,0.0,0.0,0.0,0,2
Adama Traoré,55,29,2864.0,5,8,0,0,1,0,3.3000000000000003,3.3000000000000003,7.1,0,143
Alexandre Lacazette,86,68,5994.0,33,15,2,2,8,0,29.0,27.5,8.2,0,475
Alireza Jahanbakhsh,25,15,1288.0,2,0,0,0,2,0,1.3,1.3,0.4,0,41
Allan Saint-Maximin,16,14,1172.0,1,1,0,0,0,0,2.0,2.0,2.1,0,31
Andre Gray,79,36,3568.0,14,4,0,0,4,0,14.8,14.8,4.7,0,231
Andy Carroll,41,14,1714.0,3,3,0,0,9,2,3.5,3.5,2.0,0,58
Anthony Martial,78,56,4924.0,29,10,2,3,4,0,19.6,17.3,10.0,1,405
Anwar El Ghazi,24,21,1657.0,4,4,1,1,3,0,5.5,4.7,2.5,0,78
Ashley Barnes,92,64,5913.0,27,2,3,3,22,0,23.700000000000003,21.4,5.7,0,328
Bernardo Silva,58,31,2972.0,11,9,0,0,5,0,8.1,8.1,5.6,0,203
Billy Sharp,17,5,594.0,2,0,0,0,1,1,1.4,1.4,1.2,0,30
Callum Hudson-Odoi,27,11,1161.0,1,5,0,0,1,0,2.6,2.6,3.0999999999999996,0,60
Callum Robinson,16,9,676.0,1,1,0,0,1,0,2.1,2.1,0.5,0,29
Callum Wilson,84,76,6686.0,29,11,1,2,10,0,30.099999999999998,28.599999999999998,8.0,1,404
Cenk Tosun,48,26,2499.0,10,3,0,0,3,0,8.0,8.0,1.7000000000000002,0,157
Che Adams,21,8,712.0,0,2,0,0,0,0,1.9,1.9,0.9,0,31
Chris Wood,86,73,6166.0,30,4,0,0,4,0,24.7,24.7,3.7,0,398
Christian Atsu,18,6,733.0,0,3,0,0,2,0,0.2,0.2,1.0,0,29
Christian Benteke,65,40,3795.0,5,6,1,2,9,0,15.7,14.2,5.6,1,122
Christian Pulisic,16,12,1076.0,5,2,0,0,0,0,5.1,5.1,2.1,0,76
Connor Wickham,12,0,151.0,1,2,0,0,0,0,2.0,2.0,0.8,0,32
Daniel James,26,24,2085.0,3,6,0,0,3,0,2.9,2.9,4.0,0,80
Daniel Podence,2,0,26.0,0,0,0,0,0,0,0.1,0.1,0.1,0,2
Danny Ings,59,48,3813.0,23,4,3,3,3,0,21.9,19.7,4.4,0,303
Danny Welbeck,44,16,1602.0,6,3,0,0,1,0,5.799999999999999,5.799999999999999,1.8000000000000003,0,117
David McGoldrick,20,16,1342.0,0,2,0,0,2,0,5.6,5.6,1.5,0,26
Diogo Jota,56,48,3989.0,14,5,0,0,14,0,15.6,15.6,6.0,0,193
Divock Origi,33,9,867.0,6,2,0,0,0,0,4.1,4.1,0.30000000000000004,0,103
Dominic Calvert-Lewin,92,57,5402.0,22,9,0,0,13,0,21.1,21.1,3.8,0,331
Dominic Solanke,54,19,2094.0,1,3,0,0,1,0,6.1,6.1,3.6,0,77
Dwight Gayle,45,25,2156.0,6,4,0,0,3,0,9.600000000000001,9.600000000000001,2.6,0,119
Eddie Nketiah,7,2,212.0,1,1,0,0,0,0,1.1,1.1,0.1,0,22
Emi Buendía,26,20,1836.0,0,7,0,0,4,0,2.0,2.0,6.5,0,53
Gabriel Jesus,81,40,3993.0,30,10,1,4,8,0,36.2,33.2,5.1,3,400
Georges-Kévin N'Koudou,2,0,6.0,0,1,0,0,0,0,0.0,0.0,0.1,0,7
Gerard Deulofeu,64,55,4586.0,15,10,1,1,6,0,14.3,13.5,9.7,0,252
Glenn Murray,91,61,5386.0,26,1,8,10,14,0,24.5,16.9,2.4,2,318
Harry Kane,85,82,7283.0,58,8,8,9,12,0,47.1,40.199999999999996,8.700000000000001,1,676
Harvey Elliot,1,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,1
Henrikh Mkhitaryan,39,29,2549.0,8,8,0,0,2,0,6.1000000000000005,6.1000000000000005,6.9,0,155
Indiana Vassilev,2,0,36.0,0,0,0,0,0,0,0.0,0.0,0.0,0,2
Isaac Success,35,9,1102.0,1,1,0,0,5,0,2.7,2.7,2.2,0,40
Ismaila Sarr,17,11,1054.0,3,2,0,0,1,0,3.4,3.4,1.2,0,55
Jack Grealish,25,25,2244.0,7,6,0,1,7,0,5.5,4.7,5.2,1,106
Jamie Vardy,96,92,8175.0,55,9,12,15,8,1,46.0,34.5,10.1,3,655
Jarrod Bowen,2,0,16.0,0,0,0,0,0,0,0.2,0.2,0.0,0,2
Javier Hernández,55,31,2992.0,16,1,0,0,5,0,11.7,11.7,3.5999999999999996,0,210
Jay Rodriguez,63,41,4033.0,12,1,2,2,3,0,13.0,11.5,1.7000000000000002,0,182
Joelinton,27,26,2130.0,1,2,0,0,5,0,3.8,3.8,2.2,0,37
Jonathan Kodjia,6,0,111.0,0,0,0,0,1,0,0.1,0.1,0.0,0,4
Jordan Ayew,82,73,6251.0,14,5,1,1,9,1,14.0,13.3,3.8000000000000003,0,224
Joshua King,86,77,6826.0,23,8,8,9,6,0,24.5,17.7,10.9,1,339
Josip Drmić,12,0,161.0,1,0,0,0,0,0,1.2,1.2,0.1,0,22
Jota,8,4,313.0,0,1,0,0,0,0,0.1,0.1,0.6,0,13
Keinan Davis,7,0,106.0,0,0,0,0,0,0,0.7,0.7,0.0,0,7
Kelechi Iheanacho,61,21,2190.0,7,9,0,0,5,0,8.5,8.5,5.699999999999999,0,166
Leandro Trossard,21,14,1272.0,3,3,0,0,0,0,2.6,2.6,3.1,0,66
Lucas Moura,63,44,3886.0,14,3,0,0,5,0,10.600000000000001,10.600000000000001,3.7,0,208
Lukas Rupp,5,4,317.0,0,0,0,0,0,0,0.3,0.3,0.5,0,5
Lys Mousset,70,15,1959.0,8,4,0,0,3,0,6.5,6.5,3.3,0,164
Marcus Rashford,90,65,6038.0,30,15,5,7,8,1,26.799999999999997,21.5,11.399999999999999,2,434
Martinelli,14,6,656.0,3,0,0,0,1,0,2.4,2.4,0.2,0,42
Mason Greenwood,24,4,689.0,5,0,0,0,0,0,2.8,2.8,0.4,0,74
Matěj Vydra,21,4,561.0,3,2,0,0,1,0,3.3,3.3,0.30000000000000004,0,59
Mbwana Samatta,3,3,263.0,1,0,0,0,0,0,0.7,0.7,0.2,0,13
Michael Obafemi,20,5,554.0,2,1,0,0,2,0,2.6,2.6,0.8999999999999999,0,41
Michail Antonio,67,46,4303.0,10,6,0,0,4,0,12.4,12.4,5.4,0,189
Michy Batshuayi,38,13,1323.0,8,2,0,0,0,0,6.9,6.9,0.4,0,128
Miguel Almirón,36,35,2963.0,2,1,0,0,5,0,5.9,5.9,1.5,0,51
Mohamed Salah,98,95,8239.0,69,24,7,8,3,0,55.7,49.599999999999994,22.799999999999997,1,897
Moise Kean,20,5,635.0,1,2,0,0,0,0,2.9,2.9,0.5,0,40
Neal Maupay,26,21,1934.0,8,2,1,1,3,0,9.1,8.3,2.0,0,110
Nicolas Pépé,23,16,1525.0,4,6,1,1,3,0,4.3,3.5,3.4,0,87
Odion Ighalo,2,0,10.0,0,0,0,0,0,0,0.6,0.6,0.0,0,2
Oliver McBurnie,36,16,1621.0,4,1,0,0,3,0,7.2,7.2,1.7999999999999998,0,75
Olivier Giroud,63,17,2117.0,10,6,0,0,1,0,12.0,12.0,5.0,0,191
Onel Hernández,17,7,757.0,1,1,0,0,0,0,1.1,1.1,0.6,0,32
Oumar Niasse,43,22,2104.0,8,2,0,0,2,0,9.9,9.9,2.6,0,129
Patrick Cutrone,12,3,292.0,2,0,0,0,0,0,2.3,2.3,0.0,0,32
Pedro,38,27,2256.0,8,2,0,0,3,0,7.800000000000001,7.800000000000001,3.3000000000000003,0,122
Pedro Neto,20,7,711.0,2,2,0,0,2,0,1.4,1.4,2.1,0,46
Pierre-Emerick Aubameyang,74,67,6003.0,49,10,6,8,3,1,39.7,33.5,6.8999999999999995,2,593
Raheem Sterling,90,82,7298.0,46,21,1,2,12,2,41.6,39.8,21.5,1,616
Raúl Jiménez,65,62,5409.0,25,13,5,5,7,0,25.8,22.0,12.1,0,366
Reiss Nelson,10,5,439.0,0,0,0,0,1,0,0.6,0.6,0.3,0,8
Richarlison,98,89,7679.0,28,8,0,0,14,1,25.200000000000003,25.200000000000003,8.9,0,385
Riyad Mahrez,49,29,2693.0,14,12,0,1,0,0,9.5,8.7,11.0,1,244
Roberto Firmino,98,88,7636.0,35,20,2,2,1,0,36.0,34.5,16.6,0,546
Roberto Pereyra,54,45,4024.0,9,1,1,1,6,0,7.1000000000000005,6.300000000000001,4.8,0,137
Sadio Mané,89,85,7180.0,45,14,0,0,7,1,37.3,37.3,14.6,0,590
Sam Surridge,3,0,26.0,0,0,0,0,0,0,0.3,0.3,0.1,0,3
Sergio Agüero,79,69,5785.0,58,17,8,9,7,0,50.900000000000006,44.1,13.9,1,725
Shane Long,73,38,3826.0,9,4,0,0,9,0,13.600000000000001,13.600000000000001,3.4000000000000004,0,165
Son Heung-min,89,70,6112.0,33,19,0,1,2,3,24.8,23.900000000000002,14.1,1,490
Steven Bergwijn,3,3,238.0,1,0,0,0,0,0,0.6,0.6,0.5,0,13
Sébastien Haller,25,22,1968.0,6,1,0,0,1,0,5.9,5.9,1.3,0,88
Tahith Chong,5,0,70.0,0,0,0,0,0,0,0.2,0.2,0.0,0,5
Takumi Minamino,2,0,66.0,0,0,0,0,0,0,0.6,0.6,0.0,0,2
Tammy Abraham,56,38,3671.0,19,4,0,0,2,0,18.6,18.6,3.0999999999999996,0,262
Teemu Pukki,26,26,2315.0,11,3,2,2,3,0,11.4,9.9,3.2,0,145
Todd Cantwell,27,23,1967.0,6,2,0,0,4,0,5.6,5.6,2.5,0,89
Troy Deeney,77,63,5733.0,19,8,6,9,8,2,22.900000000000002,15.9,8.5,3,266
Trézéguet,24,13,1324.0,3,1,0,0,4,1,2.8,2.8,0.7,0,46
Wesley Moraes,21,21,1790.0,5,1,0,1,3,0,5.2,4.4,0.9,1,65
Willian,94,66,5830.0,13,17,2,2,6,0,13.1,11.5,15.3,0,297
Xherdan Shaqiri,66,49,4270.0,15,10,0,1,7,0,9.8,9.0,8.2,1,247
Yoshinori Mutō,24,7,717.0,1,0,0,0,1,0,0.9,0.9,0.4,0,32
