,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Matches
1,Adrián\Adrian,es ESP,GK,West Ham,30,1987,19,19,1710,29,1.53,95,68,.705,7,6,6,6,31.6,1,1,0,0,Matches
2,Asmir Begović\Asmir-Begovic,ba BIH,GK,Bournemouth,30,1987,38,38,3420,61,1.61,172,113,.657,11,11,16,6,15.8,4,2,1,1,Matches
3,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,34,1983,3,2,226,1,0.40,5,4,.800,2,0,0,1,50.0,0,0,0,0,Matches
4,Jack Butland\Jack-Butland,eng ENG,GK,Stoke City,24,1993,35,35,3150,61,1.74,199,145,.719,7,11,17,6,17.1,5,5,0,0,Matches
5,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,35,1981,3,3,270,4,1.33,11,7,.636,1,1,1,1,33.3,0,0,0,0,Matches
6,Petr Čech\Petr-Cech,cz CZE,GK,Arsenal,35,1982,34,34,3039,48,1.42,129,86,.667,16,6,12,11,32.4,6,5,1,0,Matches
7,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Chelsea,25,1992,35,35,3150,34,0.97,105,75,.695,20,6,9,15,42.9,2,2,0,0,Matches
8,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,26,1990,10,10,900,15,1.50,45,35,.733,1,5,4,2,20.0,3,3,0,0,Matches
9,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,28,1989,12,12,1080,11,0.92,38,27,.711,6,1,5,4,33.3,1,0,1,0,Matches
10,Ederson\Ederson,br BRA,GK,Manchester City,23,1993,36,36,3194,26,0.73,79,54,.671,30,4,2,16,44.4,3,0,2,1,Matches
11,Rob Elliot\Rob-Elliot,ie IRL,GK,Newcastle Utd,31,1986,16,16,1440,21,1.31,62,43,.677,5,2,9,3,18.8,2,1,1,0,Matches
12,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,Swansea City,32,1985,38,38,3420,56,1.47,192,141,.724,8,9,21,9,23.7,7,3,3,1,Matches
13,Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,29,1988,20,20,1800,30,1.50,95,66,.684,4,7,9,4,20.0,1,0,1,0,Matches
14,Ben Foster\Ben-Foster,eng ENG,GK,West Brom,34,1983,37,37,3330,55,1.49,152,99,.645,6,12,19,10,27.0,1,1,0,0,Matches
15,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,25,1992,1,1,90,0,0.00,3,3,1.000,1,0,0,1,100.0,0,0,0,0,Matches
16,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,26,1990,37,37,3330,28,0.76,141,116,.809,24,6,7,18,48.6,1,1,0,0,Matches
17,Heurelho Gomes\Heurelho-Gomes,br BRA,GK,Watford,36,1981,24,24,2128,40,1.69,98,62,.622,7,5,12,5,20.8,3,3,0,0,Matches
18,Lee Grant\Lee-Grant,eng ENG,GK,Stoke City,34,1983,3,3,270,7,2.33,14,7,.500,0,1,2,1,33.3,0,0,0,0,Matches
19,Ben Hamer\Ben-Hamer,eng ENG,GK,Leicester City,29,1987,4,3,275,7,2.29,13,7,.538,0,1,2,1,33.3,1,1,0,0,Matches
20,Joe Hart\Joe-Hart,eng ENG,GK,West Ham,30,1987,19,19,1710,39,2.05,88,53,.602,3,6,10,4,21.1,5,4,1,0,Matches
21,Tom Heaton\Tom-Heaton,eng ENG,GK,Burnley,31,1986,4,4,305,4,1.18,13,9,.692,1,1,1,0,0.0,0,0,0,0,Matches
22,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,30,1987,27,27,2430,41,1.52,128,90,.688,8,6,13,7,25.9,1,1,0,0,Matches
23,Eldin Jakupović\Eldin-Jakupovic,ch SUI,GK,Leicester City,32,1984,2,2,180,6,3.00,13,8,.538,1,0,1,0,0.0,0,0,0,0,Matches
24,Loris Karius\Loris-Karius,de GER,GK,Liverpool,24,1993,19,19,1710,14,0.74,42,30,.714,11,5,3,10,52.6,3,2,1,0,Matches
25,Orestis Karnezis\Orestis-Karnezis,gr GRE,GK,Watford,32,1985,15,14,1292,24,1.67,52,31,.596,4,3,7,4,28.6,3,3,0,0,Matches
26,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,30,1986,36,36,3240,35,0.97,120,87,.725,22,7,7,15,41.7,3,2,1,0,Matches
27,Jonas Lössl\Jonas-Lossl,dk DEN,GK,Huddersfield,28,1989,38,38,3420,57,1.50,154,101,.656,9,10,19,10,26.3,6,4,2,0,Matches
28,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,27,1989,18,18,1620,26,1.44,64,39,.609,3,8,7,4,22.2,1,1,0,0,Matches
29,Simon Mignolet\Simon-Mignolet,be BEL,GK,Liverpool,29,1988,19,19,1710,24,1.26,57,35,.614,10,7,2,7,36.8,3,2,1,0,Matches
30,Boaz Myhill\Boaz-Myhill,wal WAL,GK,West Brom,34,1982,1,1,90,1,1.00,3,2,.667,0,1,0,0,0.0,0,0,0,0,Matches
31,David Ospina\David-Ospina,co COL,GK,Arsenal,28,1988,5,4,381,3,0.71,14,11,.786,3,0,1,2,50.0,0,0,0,0,Matches
32,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,23,1994,38,38,3420,58,1.53,175,120,.686,13,10,15,10,26.3,5,3,1,1,Matches
33,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,25,1992,35,34,3115,35,1.01,151,120,.788,13,11,11,11,32.4,5,3,1,1,Matches
34,Sergio Romero\Sergio-Romero,ar ARG,GK,Manchester Utd,30,1987,1,1,90,0,0.00,4,4,1.000,1,0,0,1,100.0,0,0,0,0,Matches
35,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,25,1992,38,38,3420,54,1.42,172,123,.692,9,13,16,10,26.3,3,1,2,0,Matches
36,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,30,1986,33,33,2965,47,1.43,135,90,.659,11,10,12,8,24.2,3,1,2,0,Matches
37,Julián Speroni\Julian-Speroni,ar ARG,GK,Crystal Palace,38,1979,11,11,990,14,1.27,42,29,.690,3,5,3,2,18.2,1,1,0,0,Matches
38,Michel Vorm\Michel-Vorm,nl NED,GK,Tottenham,33,1983,1,1,90,1,1.00,4,4,.750,0,1,0,0,0.0,0,0,0,0,Matches
