Player,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xA,PKmiss,FantPts
Aaron Lennon,14.5,8.5,801.0,0.0,1.0,0.0,0.0,3.0,0.0,0.3,0.3,0.6,0.0,13.5
Aaron Mooy,28.3,25.7,2291.0,3.0,1.7,0.7,0.7,3.3,0.3,2.3,1.8,3.0,0.0,58.7
Aaron Ramsey,26.0,17.5,1587.0,5.5,7.0,0.0,0.0,0.0,0.0,4.4,4.4,3.7,0.0,116.0
Abdelhamid Sabiri,5.0,2.0,220.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.2,0.0,8.0
Abdoulaye Doucouré,32.7,32.3,2885.7,5.3,3.3,0.0,0.0,8.0,0.0,4.2,4.2,2.7,0.0,86.2
Adam Lallana,12.7,3.0,370.3,0.3,0.3,0.0,0.0,1.0,0.0,0.9,0.9,0.5,0.0,15.2
Ademola Lookman,7.0,1.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.8,0.0,7.0
Adrien Silva,7.0,5.0,424.5,0.0,0.5,0.0,0.0,1.5,0.0,0.2,0.2,0.4,0.0,6.5
Aiden O'Neill,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0
Albian Ajeti,8.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,8.0
Alex Iwobi,18.0,13.0,1170.0,1.0,0.0,0.0,0.0,0.0,0.0,2.1,2.1,2.0,0.0,28.0
Alex Oxlade-Chamberlain,14.0,7.0,678.0,1.5,1.8,0.0,0.0,1.0,0.0,1.2,1.2,1.3,0.0,36.0
Alex Pritchard,22.0,19.0,1544.5,1.5,0.5,0.0,0.0,1.5,0.0,2.6,2.6,2.4,0.0,36.5
Alexander Tettey,21.0,19.0,1635.0,1.0,1.0,0.0,0.0,4.0,0.0,0.6,0.6,0.8,0.0,28.0
Ander Herrera,24.0,14.5,1336.0,1.0,2.5,0.0,0.0,4.5,0.0,1.2,1.2,1.1,0.0,37.5
Andre-Frank Zambo Anguissa,22.0,16.0,1518.0,0.0,0.0,0.0,0.0,2.0,1.0,0.8,0.8,0.3,0.0,13.0
Andreas Pereira,19.0,12.0,1023.5,1.0,2.0,0.0,0.0,4.0,0.0,1.2,1.2,2.2,0.0,31.0
Andrew Surman,16.0,12.7,1176.0,0.7,1.7,0.0,0.0,1.7,0.0,0.5,0.5,0.6,0.0,28.1
Andriy Yarmolenko,15.0,9.0,828.0,3.0,1.0,0.0,0.0,2.0,0.0,1.5,1.5,2.5,0.0,46.0
Andros Townsend,15.0,9.0,795.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,1.2,0.0,30.0
André Gomes,18.0,15.5,1301.0,0.5,0.5,0.0,0.0,5.5,0.0,0.8,0.8,0.5,0.0,14.5
Andy King,11.0,7.0,626.0,1.5,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,26.5
Angel Gomes,2.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2.0
Anthony Gordon,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,1.0
Anthony Knockaert,33.0,27.0,2421.0,3.0,1.0,0.0,0.0,4.0,1.0,3.5,3.5,2.6,0.0,55.0
Arnaut Groeneveld,9.0,4.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.1,0.0,9.0
Aron Gunnarsson,28.0,27.0,2274.0,1.0,1.0,0.0,0.0,5.0,0.0,1.3,1.3,1.4,0.0,33.0
Arthur Masuaku,27.0,21.0,1870.0,0.0,3.0,0.0,0.0,5.0,0.0,0.2,0.2,1.9,0.0,32.0
Ashley Westwood,25.7,22.3,2031.0,1.3,4.3,0.0,0.0,5.0,0.0,1.3,1.3,3.2,0.0,50.2
Ayoze Pérez,30.0,24.0,2004.0,7.5,4.5,0.5,0.5,1.5,0.0,5.8,5.4,3.2,0.0,124.5
Badou Ndiaye,13.0,13.0,1138.0,2.0,1.0,0.0,0.0,5.0,0.0,1.2,1.2,0.3,0.0,28.0
Ben Watson,8.0,6.0,456.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,6.0
Ben Wilmot,2.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Ben Woodburn,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Beni Baningime,8.0,1.0,198.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
Beram Kayal,18.5,8.5,839.0,0.0,0.5,0.0,0.0,3.0,0.0,0.4,0.4,1.1,0.0,15.0
Bernard,17.0,12.0,951.0,3.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,1.5,0.0,53.0
Bernardo Silva,36.0,31.0,2853.0,7.0,7.0,0.0,0.0,3.0,0.0,6.3,6.3,7.3,0.0,135.0
Billy Gilmour,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2.0
Bojan Krkić,1.0,1.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Borja Bastón,2.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Bruno Fernandes,3.0,3.0,270.0,1.0,2.0,1.0,1.0,1.0,0.0,1.3,0.6,0.6,0.0,21.0
Callum Hudson-Odoi,2.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,2.0
Callum Slattery,3.0,1.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,3.0
Calum Chambers,31.0,29.0,2586.0,2.0,0.0,0.0,0.0,9.0,0.0,2.2,2.2,0.7,0.0,33.0
Carlos Sánchez,6.5,1.5,176.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
Cesc Fàbregas,19.0,13.0,1241.0,1.0,2.0,0.0,0.0,3.0,1.0,1.2,1.2,3.6,0.0,28.0
Charlie Adam,11.0,5.0,411.0,0.0,0.0,0.0,1.0,2.0,1.0,1.4,0.6,1.4,1.0,-3.0
Cheikhou Kouyaté,29.7,24.7,2169.7,1.0,2.0,0.0,0.0,3.0,0.0,1.7,1.7,0.9,0.0,43.7
Chris Brunt,26.0,22.0,1920.0,0.0,7.0,0.0,0.0,5.0,0.0,1.7,1.7,3.3,0.0,51.0
Christian Atsu,28.0,17.0,1635.5,1.5,1.0,0.0,0.0,1.5,0.0,2.6,2.6,1.9,0.0,45.0
Christian Eriksen,30.7,25.7,2360.7,6.7,8.0,0.0,0.0,2.7,0.0,4.7,4.7,7.0,0.0,132.29999999999998
Claudio Yacob,16.0,9.0,903.0,0.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,0.0,0.0,6.0
Connor Roberts,4.0,3.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Conor Hourihane,17.0,10.0,881.0,3.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,2.5,0.0,51.0
Curtis Jones,2.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Dale Stephens,29.7,29.0,2556.3,0.3,1.7,0.0,0.0,6.0,0.3,0.6,0.6,1.2,0.0,27.7
Dan Gosling,22.3,16.7,1516.3,2.0,1.0,0.0,0.0,5.7,0.0,1.8,1.8,0.7,0.0,35.9
Dani Ceballos,13.0,9.0,822.0,0.0,2.0,0.0,0.0,0.0,0.0,0.4,0.4,0.9,0.0,23.0
Danny Drinkwater,5.7,3.3,283.0,0.3,0.0,0.0,0.0,0.3,0.0,0.1,0.1,0.0,0.0,8.1
Danny Williams,12.5,6.0,608.5,0.0,0.0,0.0,0.0,1.5,0.0,0.2,0.2,0.2,0.0,9.5
Darren Fletcher,27.0,25.0,2219.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,1.1,0.0,42.0
David Brooks,30.0,29.0,2279.0,7.0,5.0,0.0,0.0,3.0,0.0,5.5,5.5,3.9,0.0,119.0
David Silva,27.0,24.0,2034.0,6.0,8.7,0.0,0.0,2.3,0.0,5.8,5.8,6.5,0.0,125.9
Davy Klaassen,7.0,3.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,7.0
Davy Pröpper,29.7,29.7,2610.0,0.7,2.3,0.0,0.0,2.7,0.3,1.5,1.5,1.3,0.0,41.3
Dean Whitehead,4.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Declan Rice,30.5,30.5,2717.0,1.0,1.0,0.0,0.0,4.5,0.0,1.0,1.0,0.8,0.0,36.5
Dele Alli,27.0,24.7,2124.7,7.0,5.3,0.0,0.0,4.3,0.0,6.6,6.6,4.1,0.0,114.9
Demarai Gray,24.5,9.5,1054.0,2.0,1.0,0.0,0.5,1.5,0.0,2.0,1.6,2.0,0.5,44.0
Dennis Praet,19.0,9.0,821.0,1.0,2.0,0.0,0.0,0.0,0.0,0.9,0.9,0.6,0.0,39.0
Dennis Srbeny,8.0,0.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,18.0
Dimitri Foulquier,3.0,1.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Dodi Lukebakio,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0
Domingos Quina,6.0,1.5,176.5,0.5,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,11.0
Douglas Luiz,25.0,17.0,1624.0,3.0,2.0,0.0,0.0,4.0,0.0,2.1,2.1,0.8,0.0,57.0
Dušan Tadić,36.0,34.0,2791.0,6.0,3.0,1.0,1.0,4.0,0.0,4.4,3.6,6.2,0.0,103.0
Dwight McNeil,24.0,23.0,1976.5,2.5,5.0,0.0,0.0,3.0,0.0,1.6,1.6,4.4,0.0,68.0
Eddie Nketiah,5.0,0.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,15.0
Edimilson Fernandes,14.0,9.0,845.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.5,0.0,17.0
Emerson Hyndman,1.0,0.5,47.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Emile Smith-Rowe,2.0,1.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Emre Can,26.0,24.0,2091.0,3.0,4.0,0.0,0.0,8.0,0.0,1.8,1.8,3.2,0.0,60.0
Eric Dier,22.0,19.3,1681.3,1.0,1.3,0.0,0.0,4.0,0.0,1.6,1.6,1.0,0.0,30.5
Fabian Delph,16.0,13.0,1189.0,0.0,0.0,0.0,0.0,5.0,1.0,0.1,0.1,0.3,0.0,1.0
Fabinho,23.0,17.0,1638.5,1.0,1.5,0.0,0.0,5.5,0.0,0.6,0.6,1.2,0.0,29.5
Felipe Anderson,20.0,19.0,1412.0,1.0,4.0,0.0,0.0,1.0,0.0,2.5,2.5,2.9,0.0,48.0
Fernandinho,31.5,30.0,2631.0,3.0,3.0,0.0,0.0,6.0,0.0,2.3,2.3,2.5,0.0,64.5
Florin Andone,3.0,1.0,71.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2,0.2,0.0,0.0,8.0
Fousseni Diabaté,14.0,5.0,587.0,0.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.3,0.0,17.0
Francis Coquelin,7.0,1.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,7.0
Fred,20.0,16.5,1445.5,0.5,0.5,0.0,0.0,3.5,0.0,1.2,1.2,1.8,0.0,20.5
Gareth Barry,25.0,22.0,1923.0,1.0,1.0,0.0,0.0,4.0,0.0,1.1,1.1,1.9,0.0,32.0
Gaëtan Bong,4.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,4.0
Gedson Fernandes,3.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Geoff Cameron,20.0,17.0,1525.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.2,0.0,16.0
Georges-Kévin N'Koudou,4.5,1.0,114.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,3.5
Georginio Wijnaldum,31.3,28.3,2434.7,2.3,0.7,0.0,0.0,1.3,0.0,2.2,2.2,1.2,0.0,55.2
Giovani Lo Celso,17.0,6.0,734.0,0.0,0.0,0.0,0.0,3.0,0.0,0.7,0.7,0.8,0.0,11.0
Granit Xhaka,29.3,29.0,2526.3,1.7,3.3,0.0,0.0,9.0,0.0,1.2,1.2,2.5,0.0,44.8
Grzegorz Krychowiak,27.0,20.0,1641.0,0.0,2.0,0.0,0.0,2.0,0.0,0.9,0.9,1.4,0.0,33.0
Gylfi Sigurðsson,29.7,27.3,2403.7,6.0,3.7,0.7,1.7,2.7,0.0,5.4,4.1,4.8,1.0,97.8
Hamza Choudhury,10.7,6.3,562.7,0.3,0.7,0.0,0.0,1.7,0.3,0.2,0.2,0.3,0.0,12.299999999999999
Harry Arter,19.0,17.5,1483.5,0.5,0.5,0.0,0.0,7.0,0.0,0.8,0.8,0.4,0.0,12.5
Harry Wilson,23.0,19.0,1446.0,7.0,0.0,0.0,0.0,1.0,0.0,3.5,3.5,1.8,0.0,91.0
Harry Winks,21.3,14.7,1290.0,0.3,0.3,0.0,0.0,3.7,0.0,0.3,0.3,0.6,0.0,18.4
Harvey Barnes,14.0,9.0,774.5,2.0,3.0,0.0,0.0,0.0,0.0,3.1,3.1,1.1,0.0,49.0
