Player,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xA,PKmiss,FantPts
Aaron Lennon,29,17,1602.0,0,2,0,0,6,0,0.6,0.6,1.2000000000000002,0,27
Aaron Mooy,85,77,6873.0,9,5,2,2,10,1,6.8,5.3999999999999995,8.899999999999999,0,175
Aaron Ramsey,52,35,3174.0,11,14,0,0,0,0,8.9,8.9,7.4,0,232
Abdelhamid Sabiri,5,2,220.0,0,1,0,0,1,0,0.3,0.3,0.2,0,8
Abdoulaye Doucouré,98,97,8657.0,16,10,0,0,24,0,12.5,12.5,8.2,0,260
Adam Lallana,38,9,1111.0,1,1,0,0,3,0,2.8,2.8,1.4,0,47
Ademola Lookman,7,1,159.0,0,0,0,0,0,0,0.1,0.1,0.8,0,7
Adrien Silva,14,10,849.0,0,1,0,0,3,0,0.3,0.3,0.8,0,13
Aiden O'Neill,1,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0,1
Albian Ajeti,8,0,127.0,0,0,0,0,0,0,0.1,0.1,0.1,0,8
Alex Iwobi,18,13,1170.0,1,0,0,0,0,0,2.1,2.1,2.0,0,28
Alex Oxlade-Chamberlain,56,28,2712.0,6,7,0,0,4,0,4.699999999999999,4.699999999999999,5.1000000000000005,0,143
Alex Pritchard,44,38,3089.0,3,1,0,0,3,0,5.2,5.2,4.7,0,73
Alexander Tettey,21,19,1635.0,1,1,0,0,4,0,0.6,0.6,0.8,0,28
Ander Herrera,48,29,2672.0,2,5,0,0,9,0,2.3,2.3,2.2,0,75
Andre-Frank Zambo Anguissa,22,16,1518.0,0,0,0,0,2,1,0.8,0.8,0.3,0,13
Andreas Pereira,38,24,2047.0,2,4,0,0,8,0,2.5,2.5,4.3,0,62
Andrew Surman,48,38,3528.0,2,5,0,0,5,0,1.4000000000000001,1.4000000000000001,1.7999999999999998,0,83
Andriy Yarmolenko,15,9,828.0,3,1,0,0,2,0,1.5,1.5,2.5,0,46
Andros Townsend,15,9,795.0,1,1,0,0,0,0,0.2,0.2,1.2,0,30
André Gomes,36,31,2602.0,1,1,0,0,11,0,1.7,1.7,1.0,0,29
Andy King,22,14,1252.0,3,1,0,0,2,0,2.0,2.0,0.1,0,53
Angel Gomes,4,0,44.0,0,0,0,0,0,0,0.1,0.1,0.2,0,4
Anthony Gordon,1,0,45.0,0,0,0,0,0,0,0.2,0.2,0.0,0,1
Anthony Knockaert,33,27,2421.0,3,1,0,0,4,1,3.5,3.5,2.6,0,55
Arnaut Groeneveld,9,4,407.0,0,0,0,0,0,0,0.7,0.7,0.1,0,9
Aron Gunnarsson,28,27,2274.0,1,1,0,0,5,0,1.3,1.3,1.4,0,33
Arthur Masuaku,27,21,1870.0,0,3,0,0,5,0,0.2,0.2,1.9,0,32
Ashley Westwood,77,67,6093.0,4,13,0,0,15,0,3.9,3.9,9.6,0,152
Ayoze Pérez,60,48,4008.0,15,9,1,1,3,0,11.5,10.8,6.3,0,249
Badou Ndiaye,13,13,1138.0,2,1,0,0,5,0,1.2,1.2,0.3,0,28
Ben Watson,8,6,456.0,0,0,0,0,1,0,0.0,0.0,0.1,0,6
Ben Wilmot,2,0,26.0,0,0,0,0,0,0,0.0,0.0,0.0,0,2
Ben Woodburn,1,0,7.0,0,0,0,0,0,0,0.0,0.0,0.0,0,1
Beni Baningime,8,1,198.0,0,0,0,0,1,0,0.0,0.0,0.0,0,6
Beram Kayal,37,17,1678.0,0,1,0,0,6,0,0.8,0.8,2.2,0,30
Bernard,17,12,951.0,3,2,0,0,2,0,1.0,1.0,1.5,0,53
Bernardo Silva,36,31,2853.0,7,7,0,0,3,0,6.3,6.3,7.3,0,135
Billy Gilmour,2,0,9.0,0,0,0,0,0,0,0.0,0.0,0.1,0,2
Bojan Krkić,1,1,71.0,0,0,0,0,0,0,0.0,0.0,0.0,0,1
Borja Bastón,2,0,16.0,0,0,0,0,0,0,0.0,0.0,0.0,0,2
Bruno Fernandes,3,3,270.0,1,2,1,1,1,0,1.3,0.6,0.6,0,21
Callum Hudson-Odoi,2,0,29.0,0,0,0,0,0,0,0.1,0.1,0.0,0,2
Callum Slattery,3,1,110.0,0,0,0,0,0,0,0.2,0.2,0.0,0,3
Calum Chambers,31,29,2586.0,2,0,0,0,9,0,2.2,2.2,0.7,0,33
Carlos Sánchez,13,3,353.0,0,0,0,0,0,0,0.1,0.1,0.1,0,13
Cesc Fàbregas,38,26,2482.0,2,4,0,0,6,2,2.4,2.4,7.1,0,56
Charlie Adam,11,5,411.0,0,0,0,1,2,1,1.4,0.6,1.4,1,-3
Cheikhou Kouyaté,89,74,6509.0,3,6,0,0,9,0,5.2,5.2,2.8,0,131
Chris Brunt,26,22,1920.0,0,7,0,0,5,0,1.7,1.7,3.3,0,51
Christian Atsu,56,34,3271.0,3,2,0,0,3,0,5.2,5.2,3.8,0,90
Christian Eriksen,92,77,7082.0,20,24,0,0,8,0,14.0,14.0,21.0,0,396
Claudio Yacob,16,9,903.0,0,0,0,0,5,0,0.3,0.3,0.0,0,6
Connor Roberts,4,3,268.0,0,0,0,0,0,0,0.0,0.0,0.0,0,4
Conor Hourihane,17,10,881.0,3,2,0,0,3,0,1.0,1.0,2.5,0,51
Curtis Jones,2,0,19.0,0,0,0,0,0,0,0.0,0.0,0.0,0,2
Dale Stephens,89,87,7669.0,1,5,0,0,18,1,1.9000000000000001,1.9000000000000001,3.5,0,83
Dan Gosling,67,50,4549.0,6,3,0,0,17,0,5.4,5.4,2.2,0,108
Dani Ceballos,13,9,822.0,0,2,0,0,0,0,0.4,0.4,0.9,0,23
Danny Drinkwater,17,10,849.0,1,0,0,0,1,0,0.2,0.2,0.1,0,25
Danny Williams,25,12,1217.0,0,0,0,0,3,0,0.3,0.3,0.5,0,19
Darren Fletcher,27,25,2219.0,1,1,0,0,0,0,0.3,0.3,1.1,0,42
David Brooks,30,29,2279.0,7,5,0,0,3,0,5.5,5.5,3.9,0,119
David Silva,81,72,6102.0,18,26,0,0,7,0,17.4,17.4,19.599999999999998,0,377
Davy Klaassen,7,3,251.0,0,0,0,0,0,0,0.0,0.0,0.1,0,7
Davy Pröpper,89,89,7830.0,2,7,0,0,8,1,4.6,4.6,3.9000000000000004,0,123
Dean Whitehead,4,0,71.0,0,0,0,0,0,0,0.0,0.0,0.0,0,4
Declan Rice,61,61,5434.0,2,2,0,0,9,0,1.9,1.9,1.5,0,73
Dele Alli,81,74,6374.0,21,16,0,0,13,0,19.7,19.7,12.399999999999999,0,345
Demarai Gray,49,19,2108.0,4,2,0,1,3,0,4.0,3.2,4.1,1,88
Dennis Praet,19,9,821.0,1,2,0,0,0,0,0.9,0.9,0.6,0,39
Dennis Srbeny,8,0,39.0,1,0,0,0,0,0,0.5,0.5,0.0,0,18
Dimitri Foulquier,3,1,58.0,0,0,0,0,0,0,0.0,0.0,0.0,0,3
Dodi Lukebakio,1,0,16.0,0,0,0,0,0,0,0.0,0.0,0.1,0,1
Domingos Quina,12,3,353.0,1,0,0,0,0,0,0.2,0.2,0.1,0,22
Douglas Luiz,25,17,1624.0,3,2,0,0,4,0,2.1,2.1,0.8,0,57
Dušan Tadić,36,34,2791.0,6,3,1,1,4,0,4.4,3.6,6.2,0,103
Dwight McNeil,48,46,3953.0,5,10,0,0,6,0,3.2,3.2,8.7,0,136
Eddie Nketiah,5,0,62.0,1,0,0,0,0,0,0.2,0.2,0.2,0,15
Edimilson Fernandes,14,9,845.0,0,1,0,0,1,0,0.3,0.3,0.5,0,17
Emerson Hyndman,2,1,95.0,0,0,0,0,0,0,0.0,0.0,0.0,0,2
Emile Smith-Rowe,2,1,97.0,0,0,0,0,0,0,0.0,0.0,0.0,0,2
Emre Can,26,24,2091.0,3,4,0,0,8,0,1.8,1.8,3.2,0,60
Eric Dier,66,58,5044.0,3,4,0,0,12,0,4.7,4.7,3.1,0,92
Fabian Delph,16,13,1189.0,0,0,0,0,5,1,0.1,0.1,0.3,0,1
Fabinho,46,34,3277.0,2,3,0,0,11,0,1.1,1.1,2.5,0,59
Felipe Anderson,20,19,1412.0,1,4,0,0,1,0,2.5,2.5,2.9,0,48
Fernandinho,63,60,5262.0,6,6,0,0,12,0,4.6,4.6,5.0,0,129
Florin Andone,3,1,71.0,1,0,0,0,0,1,0.2,0.2,0.0,0,8
Fousseni Diabaté,14,5,587.0,0,1,0,0,1,0,0.4,0.4,0.3,0,17
Francis Coquelin,7,1,169.0,0,0,0,0,0,0,0.0,0.0,0.2,0,7
Fred,40,33,2891.0,1,1,0,0,7,0,2.5,2.5,3.5,0,41
Gareth Barry,25,22,1923.0,1,1,0,0,4,0,1.1,1.1,1.9,0,32
Gaëtan Bong,4,0,56.0,0,0,0,0,0,0,0.0,0.0,0.1,0,4
Gedson Fernandes,3,0,32.0,0,0,0,0,0,0,0.0,0.0,0.0,0,3
Geoff Cameron,20,17,1525.0,0,0,0,0,2,0,0.4,0.4,0.2,0,16
Georges-Kévin N'Koudou,9,2,229.0,0,0,0,0,1,0,0.1,0.1,0.0,0,7
Georginio Wijnaldum,94,85,7304.0,7,2,0,0,4,0,6.7,6.7,3.5999999999999996,0,166
Giovani Lo Celso,17,6,734.0,0,0,0,0,3,0,0.7,0.7,0.8,0,11
Granit Xhaka,88,87,7579.0,5,10,0,0,27,0,3.7,3.7,7.4,0,134
Grzegorz Krychowiak,27,20,1641.0,0,2,0,0,2,0,0.9,0.9,1.4,0,33
Gylfi Sigurðsson,89,82,7211.0,18,11,2,5,8,0,16.3,12.3,14.5,3,293
Hamza Choudhury,32,19,1688.0,1,2,0,0,5,1,0.6,0.6,0.7999999999999999,0,37
Harry Arter,38,35,2967.0,1,1,0,0,14,0,1.7000000000000002,1.7000000000000002,0.8,0,25
Harry Wilson,23,19,1446.0,7,0,0,0,1,0,3.5,3.5,1.8,0,91
Harry Winks,64,44,3870.0,1,1,0,0,11,0,1.0,1.0,1.7000000000000002,0,57
Harvey Barnes,28,18,1549.0,4,6,0,0,0,0,6.199999999999999,6.199999999999999,2.2,0,98
Harvey Elliot,2,0,18.0,0,0,0,0,0,0,0.1,0.1,0.0,0,2
Henri Lansbury,9,2,189.0,0,0,0,0,0,0,0.1,0.1,0.1,0,9
Henri Saivet,1,1,83.0,1,0,0,0,0,0,0.0,0.0,0.0,0,11
Henrikh Mkhitaryan,15,11,922.0,1,5,0,0,2,0,1.0,1.0,3.4,0,46
Ibrahim Afellay,6,1,166.0,0,0,0,0,1,0,0.0,0.0,0.0,0,4
Ibrahima Cissé,3,1,87.0,0,0,0,0,0,0,0.0,0.0,0.0,0,3
Idrissa Gana Gueye,66,64,5576.0,2,3,0,0,13,2,2.2,2.2,2.2,0,65
Ignacio Pussetto,4,0,32.0,0,0,0,0,0,0,0.0,0.0,0.0,0,4
Isaac Hayden,73,57,5035.0,3,5,0,0,14,2,2.5,2.5,3.9000000000000004,0,90
Izzy Brown,13,4,311.0,0,0,0,0,0,0,0.1,0.1,0.7,0,13
Jack Cork,100,100,8921.0,3,3,0,0,13,0,5.2,5.2,3.0999999999999996,0,119
Jack Wilshere,34,18,1757.0,1,4,0,0,8,0,1.2,1.2,2.6,0,48
Jacob Murphy,9,3,299.0,0,1,0,0,0,0,0.1,0.1,0.4,0,14
Jake Livermore,34,30,2674.0,2,2,0,0,5,0,2.1,2.1,2.3,0,54
James Garner,2,0,8.0,0,0,0,0,0,0,0.0,0.0,0.0,0,2
James Maddison,62,60,5072.0,13,10,1,2,8,1,11.7,10.1,13.5,1,216
James McArthur,97,89,7776.0,8,9,0,0,17,0,12.3,12.3,6.6,0,188
James McCarthy,27,13,1256.0,0,0,0,0,6,0,0.3,0.3,0.4,0,15
James McClean,30,14,1406.0,1,0,0,0,7,0,1.7,1.7,1.3,0,26
James Milner,80,41,4229.0,8,9,5,5,12,1,7.4,3.6,8.799999999999999,0,176
James Morrison,4,2,207.0,1,0,0,0,0,0,0.7,0.7,0.1,0,14
James Ward-Prowse,53,48,4372.0,11,2,2,3,11,0,7.8,5.4,6.7,1,146
Jamie Murphy,4,1,168.0,0,0,0,0,0,0,0.0,0.0,0.0,0,4
Jason Puncheon,21,11,1036.0,0,0,0,0,6,0,1.2999999999999998,1.2999999999999998,1.2000000000000002,0,9
Jay Fulton,2,0,19.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0
Jaïro Riedewald,12,4,442.0,0,0,0,0,0,0,0.0,0.0,0.1,0,12
Jean Seri,32,27,2250.0,1,2,0,0,6,0,1.1,1.1,3.7,0,40
Jean-Philippe Gbamin,2,1,135.0,0,0,0,0,0,0,0.0,0.0,0.0,0,2
Jeff Hendrick,88,74,6155.0,7,4,0,0,12,0,6.1,6.1,3.8,0,154
Jefferson Lerma,52,49,4285.0,2,1,0,0,23,1,1.7000000000000002,1.7000000000000002,1.7000000000000002,0,26
Jeffrey Schlupp,44,27,2524.0,6,2,0,0,3,0,4.5,4.5,2.5,0,108
Jeremie Boga,1,1,17.0,0,0,0,0,0,0,0.0,0.0,0.0,0,1
Jerome Sinclair,4,0,31.0,0,0,0,0,0,0,0.0,0.0,0.1,0,4
Jesse Lingard,53,29,2708.0,8,5,0,0,5,0,9.2,9.2,4.2,0,148
Joe Allen,36,36,3139.0,2,6,0,0,8,0,2.4,2.4,2.7,0,70
Joe Lolley,6,2,221.0,1,0,0,0,1,0,0.1,0.1,0.1,0,14
Joe Ralls,28,22,1958.0,0,0,0,1,4,1,1.5,0.8,2.0,1,10
Joe Willock,23,8,720.0,0,0,0,0,1,0,1.1,1.1,0.5,0,21
John Fleck,24,24,2099.0,5,2,0,0,7,0,3.4,3.4,3.2,0,70
John Lundstram,26,22,1979.0,4,2,0,0,4,0,4.0,4.0,2.2,0,68
John McGinn,18,18,1538.0,3,2,0,0,2,0,2.7,2.7,1.9,0,54
Jon Gorenc Stanković,11,9,717.0,1,0,0,0,2,0,1.1,1.1,0.2,0,17
Jonathan Hogg,59,58,4774.0,0,1,0,0,17,3,1.0,1.0,1.1,0,15
Jonjo Shelvey,61,49,4376.0,7,4,0,0,5,3,5.0,5.0,5.8,0,126
Jordan Henderson,84,68,6043.0,5,9,0,0,4,1,4.1,4.1,6.1,0,166
Jordon Ibe,51,31,2789.0,3,7,0,0,2,0,3.4,3.4,4.699999999999999,0,112
Jorginho,62,59,5116.0,6,2,4,4,17,0,5.0,1.9,5.2,0,98
Josh Brownhill,1,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,1
José Izquierdo,47,32,2778.0,6,4,0,0,3,0,5.1,5.1,2.4,0,121
João Moutinho,65,60,5295.0,2,14,0,0,9,0,1.2999999999999998,1.2999999999999998,10.5,0,137
Juan Mata,16,8,715.0,0,2,0,0,1,0,1.2,1.2,1.8,0,24
Juninho Bacuna,21,16,1415.0,1,0,0,0,4,0,0.5,0.5,1.6,0,23
Junior Stanislas,46,29,2446.0,7,5,2,2,2,0,7.6000000000000005,6.0,4.6,0,137
Jóhann Berg Guðmundsson,71,55,4983.0,6,14,0,0,4,0,7.0,7.0,8.9,0,193
Jürgen Locadia,2,1,86.0,0,0,0,0,0,0,0.4,0.4,0.0,0,2
Kadeem Harris,13,3,366.0,1,0,0,0,1,0,1.0,1.0,0.4,0,21
Kasey Palmer,4,1,170.0,0,0,0,0,2,0,0.1,0.1,0.1,0,0
Kenedy,38,27,2367.0,3,3,0,1,2,0,4.4,3.6,2.9000000000000004,1,74
Kenny McLean,26,23,2109.0,1,1,0,0,4,0,1.4,1.4,1.6,0,33
Kevin De Bruyne,82,72,6203.0,17,35,0,0,6,0,12.700000000000001,12.700000000000001,29.3,0,415
Kevin Long,1,0,2.0,0,0,0,0,0,0,0.0,0.0,0.0,0,1
Kevin McDonald,15,10,841.0,0,0,0,0,5,1,0.1,0.1,0.1,0,0
Ki Sung-yueng,46,36,3306.0,2,3,0,0,4,0,0.8999999999999999,0.8999999999999999,2.8000000000000003,0,73
Lasse Sørensen,1,1,75.0,0,0,0,0,0,0,0.0,0.0,0.4,0,1
Leander Dendoncker,19,17,1469.0,2,0,0,0,1,0,2.6,2.6,1.1,0,37
Leandro Bacuna,11,4,554.0,0,0,0,0,2,0,0.1,0.1,0.0,0,7
Leon Britton,5,4,302.0,0,0,0,0,1,0,0.0,0.0,0.0,0,3
Leon Clarke,1,0,13.0,0,0,0,0,0,0,0.4,0.4,0.0,0,1
Leroy Fer,20,15,1397.0,1,1,0,0,5,0,1.3,1.3,1.3,0,25
Lewis Cook,60,42,3791.0,0,2,0,0,10,0,0.8999999999999999,0.8999999999999999,2.3,0,50
Loïc Damour,2,0,21.0,0,0,0,0,0,0,0.0,0.0,0.0,0,2
Lucas Torreira,58,39,3750.0,3,3,0,0,11,1,3.1,3.1,2.4000000000000004,0,76
Luka Milivojević,96,95,8466.0,23,4,18,20,27,0,20.200000000000003,5.0,6.300000000000001,2,282
Luke Amos,1,0,2.0,0,0,0,0,0,0,0.0,0.0,0.0,0,1
Luke Dreher,1,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,1
Luke Freeman,9,3,322.0,0,0,0,0,2,0,0.0,0.0,0.3,0,5
Manuel Lanzini,56,43,3919.0,6,9,0,1,6,0,7.0,6.2,6.9,1,144
Marc Albrighton,46,32,2913.0,2,8,0,0,6,1,1.7,1.7,5.300000000000001,0,89
