Player,Pos,Squad,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA
Albian Ajeti,MF,West Ham,8,0,127.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.08,0.04,0.12,0.08,0.12
Marc Albrighton,MF,Leicester City,12,2,375.0,0,1,0,0,1,0,0.0,0.24,0.24,0.0,0.24,0.2,0.2,0.9,0.06,0.2,0.26,0.06,0.26
Dele Alli,MF,Tottenham,20,18,1584.0,7,3,0,0,2,0,0.4,0.17,0.57,0.4,0.57,5.4,5.4,2.2,0.31,0.12,0.43,0.31,0.43
Steven Alzate,MF,Brighton,18,12,1175.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.7,0.09,0.05,0.14,0.09,0.14
Felipe Anderson,MF,West Ham,20,19,1412.0,1,4,0,0,1,0,0.06,0.25,0.32,0.06,0.32,2.5,2.5,2.9,0.16,0.18,0.34,0.16,0.34
Florin Andone,MF,Brighton,3,1,71.0,1,0,0,0,0,1,1.27,0.0,1.27,1.27,1.27,0.2,0.2,0.0,0.19,0.05,0.24,0.19,0.24
Stuart Armstrong,MF,Southampton,20,11,1050.0,3,0,0,0,3,0,0.26,0.0,0.26,0.26,0.26,1.9,1.9,0.9,0.16,0.07,0.24,0.16,0.24
Ross Barkley,MF,Chelsea,11,7,559.0,0,1,0,0,0,0,0.0,0.16,0.16,0.0,0.16,1.6,1.6,1.1,0.26,0.18,0.44,0.26,0.44
Harvey Barnes,MF,Leicester City,25,18,1539.0,4,6,0,0,0,0,0.23,0.35,0.58,0.23,0.58,6.1,6.1,2.2,0.36,0.13,0.48,0.36,0.48
Borja Bastón,MF,Aston Villa,2,0,16.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nabil Bentaleb,MF,Newcastle Utd,3,3,270.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.05,0.06,0.01,0.06
Jóhann Berg Guðmundsson,MF,Burnley,7,4,401.0,1,0,0,0,0,0,0.22,0.0,0.22,0.22,0.22,0.6,0.6,0.5,0.14,0.11,0.24,0.14,0.24
Sander Berge,MF,Sheffield Utd,3,3,210.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
Bernard,MF,Everton,17,12,951.0,3,2,0,0,2,0,0.28,0.19,0.47,0.28,0.47,1.0,1.0,1.5,0.09,0.14,0.23,0.09,0.23
