Player,Gls,Ast,xG,npxG,xA,Sh,SoT,Fls,Fld,Crs,TklW,Int,CrdY,CrdR,MP,PKmiss,FantPts
Aaron Connolly,2,0,2.2,2.2,0.2,23,8,11,26,7,4,0,0,0,17,0,51.5
Adam Idah,0,0,0.0,0.0,0.0,0,0,0,2,0,3,0,0,0,2,0,3.5
Adama Traoré,3,6,1.6,1.6,4.1,36,12,36,53,113,19,14,1,0,55,0,129.5
Alexandre Lacazette,33,14,29.300000000000004,27.800000000000008,8.099999999999996,187,77,110,104,55,57,28,8,0,86,0,611.5
Alireza Jahanbakhsh,1,0,1.1000000000000003,1.1000000000000003,0.2,23,7,12,10,33,17,9,1,0,25,0,56.0
Allan Saint-Maximin,1,0,0.9,0.9,0.30000000000000004,18,7,5,14,24,2,4,0,0,16,0,43.5
Andre Gray,14,4,13.9,13.9,4.400000000000001,81,33,31,14,19,8,6,4,0,79,0,297.0
Andy Carroll,3,3,3.3000000000000007,3.3000000000000007,2.0,50,14,47,32,15,2,4,9,1,41,0,65.0
Anthony Martial,27,8,17.8,15.399999999999995,8.999999999999995,126,59,50,75,75,30,6,4,0,78,1,494.5
Anwar El Ghazi,3,4,4.3,3.6,2.3000000000000003,34,12,13,10,75,9,8,3,0,24,0,98.5
Ashley Barnes,27,2,23.300000000000004,21.000000000000004,5.799999999999999,160,61,134,170,25,25,11,21,0,92,0,385.5
Bernardo Silva,12,9,8.899999999999999,8.899999999999999,6.499999999999999,78,33,29,43,111,37,31,4,0,58,0,308.5
Billy Sharp,3,0,1.9,1.9,1.5,9,4,14,17,7,4,1,1,1,17,0,39.0
Callum Hudson-Odoi,1,5,2.3000000000000003,2.3000000000000003,3.0,27,6,12,15,78,10,4,1,0,27,0,77.5
Callum Robinson,1,0,2.1,2.1,0.3,13,3,9,4,12,2,4,1,0,16,0,29.0
Callum Wilson,30,11,30.70000000000001,29.10000000000001,7.799999999999999,154,66,124,94,49,27,16,12,0,84,1,483.5
Cenk Tosun,10,3,8.299999999999999,8.299999999999999,1.6,68,28,50,35,15,16,6,3,0,48,0,194.0
