Player,Min,GA,Saves,Save%
Alisson,39.0,0,2,100.0
Adrián,51.0,1,3,75.0
Tim Krul,90.0,4,3,42.9
Łukasz Fabiański,90.0,5,4,44.4
Ederson,90.0,0,3,100.0
Nick Pope,90.0,0,3,100.0
Angus Gunn,90.0,3,1,25.0
Aaron Ramsdale,90.0,1,2,66.7
Dean Henderson,90.0,1,2,66.7
Ben Foster,90.0,3,1,25.0
Mathew Ryan,90.0,0,3,100.0
Vicente Guaita,90.0,0,2,100.0
Jordan Pickford,90.0,0,2,100.0
Hugo Lloris,90.0,1,3,75.0
Tom Heaton,90.0,3,4,57.1
Kasper Schmeichel,90.0,0,2,100.0
Rui Patrício,90.0,0,1,100.0
Martin Dúbravka,90.0,1,1,50.0
Bernd Leno,90.0,0,2,100.0
David de Gea,90.0,0,7,100.0
Kepa Arrizabalaga,90.0,4,1,20.0
Bernd Leno,90.0,1,3,75.0
Nick Pope,90.0,2,7,77.8
Tim Krul,90.0,1,2,66.7
Martin Dúbravka,90.0,3,5,62.5
Mathew Ryan,90.0,1,2,66.7
Łukasz Fabiański,90.0,1,3,75.0
Jordan Pickford,90.0,0,2,100.0
Ben Foster,90.0,1,1,50.0
Angus Gunn,90.0,2,3,60.0
Adrián,90.0,1,2,66.7
Tom Heaton,90.0,2,2,50.0
Aaron Ramsdale,90.0,1,6,85.7
Ederson,90.0,2,0,0.0
Hugo Lloris,90.0,2,6,75.0
Dean Henderson,90.0,0,4,100.0
Vicente Guaita,90.0,1,2,66.7
Kepa Arrizabalaga,90.0,1,3,75.0
Kasper Schmeichel,90.0,1,4,80.0
Rui Patrício,90.0,1,0,0.0
David de Gea,90.0,1,1,50.0
Tom Heaton,90.0,0,0,
Jordan Pickford,90.0,2,1,33.3
Tim Krul,90.0,3,5,62.5
Kepa Arrizabalaga,90.0,2,3,60.0
Dean Henderson,90.0,2,1,33.3
Kasper Schmeichel,90.0,1,2,66.7
Mathew Ryan,90.0,2,2,50.0
Angus Gunn,90.0,0,3,100.0
Ben Foster,90.0,3,6,66.7
Łukasz Fabiański,90.0,1,2,66.7
David de Gea,90.0,2,1,33.3
Vicente Guaita,90.0,1,2,66.7
Adrián,90.0,1,2,66.7
Bernd Leno,90.0,3,2,40.0
Aaron Ramsdale,90.0,3,2,40.0
Ederson,90.0,1,6,85.7
Hugo Lloris,90.0,1,2,66.7
Martin Dúbravka,90.0,0,2,100.0
Rui Patrício,90.0,1,1,50.0
Nick Pope,90.0,1,1,50.0
Angus Gunn,90.0,1,7,87.5
David de Gea,90.0,1,1,50.0
Ederson,90.0,0,2,100.0
Mathew Ryan,90.0,4,2,33.3
Łukasz Fabiański,90.0,0,3,100.0
Tim Krul,90.0,2,5,71.4
Kasper Schmeichel,90.0,1,1,50.0
Aaron Ramsdale,90.0,3,2,40.0
Martin Dúbravka,90.0,1,2,66.7
Ben Foster,90.0,1,3,75.0
Kepa Arrizabalaga,90.0,2,1,33.3
Dean Henderson,90.0,2,3,60.0
Vicente Guaita,90.0,0,2,100.0
Tom Heaton,90.0,1,4,80.0
Nick Pope,90.0,3,3,50.0
Adrián,90.0,0,2,100.0
Jordan Pickford,90.0,2,3,60.0
Rui Patrício,90.0,3,3,50.0
Bernd Leno,90.0,2,7,77.8
Hugo Lloris,90.0,2,6,75.0
Adrián,90.0,1,0,0.0
Martin Dúbravka,90.0,3,5,62.5
Mathew Ryan,90.0,1,0,0.0
Nick Pope,90.0,1,4,80.0
Dean Henderson,90.0,1,6,85.7
Angus Gunn,90.0,0,4,100.0
Rui Patrício,90.0,5,1,16.7
Kepa Arrizabalaga,90.0,2,3,60.0
David de Gea,90.0,0,3,100.0
Kasper Schmeichel,90.0,1,4,80.0
Hugo Lloris,90.0,0,7,100.0
Vicente Guaita,90.0,4,2,33.3
Tim Krul,90.0,2,6,75.0
Ederson,90.0,3,0,0.0
Aaron Ramsdale,90.0,1,4,80.0
Jordan Pickford,90.0,3,2,40.0
Ben Foster,90.0,2,2,50.0
Bernd Leno,90.0,2,8,80.0
Tom Heaton,90.0,0,1,100.0
Łukasz Fabiański,90.0,0,4,100.0
Angus Gunn,90.0,3,0,0.0
Aaron Ramsdale,90.0,1,6,85.7
Kasper Schmeichel,90.0,1,4,80.0
Paulo Gazzaniga,90.0,2,5,71.4
Nick Pope,90.0,0,2,100.0
