Player,Pos,Min,Gls,Ast,xG,npxG,xA,Sh,SoT,Fls,Fld,Crs,TklW,Int,CrdY,CrdR,position_group,Premier League
Roberto Firmino,FW,86.0,0,1,0.9,0.9,0.4,4,1,0,1,0,1,0,0,0,Forward,PL
James Milner,CM,4.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Midfield,PL
Divock Origi,LW,74.0,1,0,0.2,0.2,0.0,1,1,0,2,4,3,1,0,0,Forward,PL
Sadio Mané,LW,16.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Forward,PL
Mohamed Salah,RW,90.0,1,1,0.3,0.3,0.2,2,1,1,1,7,0,0,0,0,Forward,PL
Georginio Wijnaldum,CM,90.0,0,0,0.0,0.0,0.0,0,0,2,2,0,0,1,0,0,Midfield,PL
Jordan Henderson,CM,90.0,0,0,0.2,0.2,0.0,2,1,2,2,4,0,2,0,0,Midfield,PL
Fabinho,DM,90.0,0,0,0.0,0.0,0.0,1,1,1,1,0,2,2,0,0,Midfield,PL
Andrew Robertson,LB,90.0,0,0,0.0,0.0,0.0,2,0,0,0,9,2,1,0,0,Defender,PL
Virgil van Dijk,CB,90.0,1,0,0.0,0.0,0.0,1,1,0,0,0,2,5,0,0,Defender,PL
Joe Gomez,CB,90.0,0,0,0.0,0.0,0.0,0,0,2,0,0,1,0,0,0,Defender,PL
Trent Alexander-Arnold,RB,90.0,0,1,0.1,0.1,1.0,2,1,1,0,8,1,2,0,0,Defender,PL
Teemu Pukki,FW,83.0,1,0,0.4,0.4,0.1,3,1,0,1,0,1,1,0,0,Forward,PL
Josip Drmić,FW,7.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Forward,PL
Todd Cantwell,LW,90.0,0,0,0.0,0.0,0.1,0,0,0,3,0,0,0,0,0,Forward,PL
Emi Buendía,RW,90.0,0,1,0.1,0.1,0.5,2,2,1,1,1,1,1,1,0,Forward,PL
Marco Stiepermann,AM,58.0,0,0,0.2,0.2,0.0,3,1,0,1,0,0,0,0,0,Midfield,PL
Moritz Leitner,AM,32.0,0,0,0.0,0.0,0.1,1,0,2,1,0,0,1,1,0,Midfield,PL
Tom Trybull,CM,70.0,0,0,0.0,0.0,0.0,1,0,3,1,0,3,1,0,0,Midfield,PL
Onel Hernández,CM,20.0,0,0,0.1,0.1,0.0,2,1,0,0,0,0,0,0,0,Midfield,PL
Kenny McLean,CM,90.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,1,0,0,Midfield,PL
Jamal Lewis,LB,90.0,0,0,0.0,0.0,0.1,0,0,0,0,1,1,0,0,0,Defender,PL
Ben Godfrey,CB,90.0,0,0,0.0,0.0,0.0,1,1,0,0,0,1,4,0,0,Defender,PL
Grant Hanley,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,Defender,PL
Max Aarons,RB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,2,1,0,0,Defender,PL
Sébastien Haller,FW,90.0,0,0,0.1,0.1,0.0,1,1,0,0,0,3,2,0,0,Forward,PL
Michail Antonio,LW,45.0,0,0,0.0,0.0,0.1,0,0,0,0,1,1,1,0,0,Forward,PL
Pablo Fornals,CM,45.0,0,0,0.0,0.0,0.4,0,0,0,2,1,3,0,0,0,Midfield,PL
Felipe Anderson,RW,66.0,0,0,0.0,0.0,0.0,0,0,1,1,2,0,0,1,0,Forward,PL
Javier Hernández,FW,24.0,0,0,0.4,0.4,0.0,2,1,0,0,0,0,0,0,0,Forward,PL
Manuel Lanzini,AM,90.0,0,0,0.1,0.1,0.0,1,1,0,1,1,1,0,0,0,Midfield,PL
Declan Rice,CM,90.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,2,0,0,Midfield,PL
Jack Wilshere,CM,56.0,0,0,0.0,0.0,0.0,0,0,0,3,0,0,0,0,0,Midfield,PL
Robert Snodgrass,DM,34.0,0,0,0.0,0.0,0.2,0,0,1,1,3,0,0,0,0,Midfield,PL
Aaron Cresswell,LB,90.0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,Defender,PL
Issa Diop,CB,90.0,0,0,0.2,0.2,0.0,1,0,1,1,0,2,2,0,0,Defender,PL
Fabián Balbuena,CB,90.0,0,0,0.0,0.0,0.0,0,0,2,0,0,0,0,1,0,Defender,PL
Ryan Fredericks,RB,90.0,0,0,0.0,0.0,0.0,0,0,1,2,3,2,1,0,0,Defender,PL
Gabriel Jesus,FW,69.0,1,0,0.6,0.6,0.0,2,2,3,2,0,1,0,0,0,Forward,PL
Sergio Agüero,FW,21.0,1,0,0.8,0.0,0.0,0,0,0,0,0,0,0,0,0,Forward,PL
Raheem Sterling,LW,90.0,3,0,1.4,1.4,0.0,4,4,3,2,0,1,1,1,0,Forward,PL
Riyad Mahrez,RW,90.0,0,2,0.1,0.1,1.0,3,1,1,1,0,3,2,0,0,Forward,PL
David Silva,CM,80.0,0,0,0.4,0.4,0.1,2,0,1,0,1,1,0,0,0,Midfield,PL
Phil Foden,AM,10.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,Midfield,PL
Kevin De Bruyne,CM,79.0,0,1,0.0,0.0,0.8,1,1,1,0,2,2,2,0,0,Midfield,PL
İlkay Gündoğan,DM,11.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,Midfield,PL
Rodri,DM,90.0,0,0,0.0,0.0,0.0,0,0,3,0,0,2,0,0,0,Midfield,PL
Oleksandr Zinchenko,LB,90.0,0,0,0.0,0.0,0.1,1,0,0,0,3,1,0,0,0,Defender,PL
Aymeric Laporte,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,4,0,0,Defender,PL
John Stones,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,Defender,PL
Kyle Walker,RB,90.0,0,1,0.0,0.0,0.0,0,0,1,0,0,1,1,1,0,Defender,PL
Ashley Barnes,FW,84.0,2,0,0.5,0.5,0.0,4,3,1,1,0,0,0,0,0,Forward,PL
Jay Rodriguez,FW,6.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Forward,PL
Chris Wood,FW,90.0,0,0,0.0,0.0,0.0,1,0,1,1,2,0,0,0,0,Forward,PL
