,Player,Nation,Min,GA,Saves,Save%
0,Alisson,br BRA,39.0,0,2,100.0
1,Adrián,es ESP,51.0,1,3,75.0
0,Tim Krul,nl NED,90.0,4,3,42.9
0,Łukasz Fabiański,pl POL,90.0,5,4,44.4
0,Ederson,br BRA,90.0,0,3,100.0
0,Nick Pope,eng ENG,90.0,0,3,100.0
0,Angus Gunn,eng ENG,90.0,3,1,25.0
0,Aaron Ramsdale,eng ENG,90.0,1,2,66.7
0,Dean Henderson,eng ENG,90.0,1,2,66.7
0,Ben Foster,eng ENG,90.0,3,1,25.0
0,Mathew Ryan,au AUS,90.0,0,3,100.0
0,Vicente Guaita,es ESP,90.0,0,2,100.0
0,Jordan Pickford,eng ENG,90.0,0,2,100.0
0,Hugo Lloris,fr FRA,90.0,1,3,75.0
0,Tom Heaton,eng ENG,90.0,3,4,57.1
0,Kasper Schmeichel,dk DEN,90.0,0,2,100.0
0,Rui Patrício,pt POR,90.0,0,1,100.0
0,Martin Dúbravka,sk SVK,90.0,1,1,50.0
0,Bernd Leno,de GER,90.0,0,2,100.0
0,David de Gea,es ESP,90.0,0,7,100.0
0,Kepa Arrizabalaga,es ESP,90.0,4,1,20.0
0,Bernd Leno,de GER,90.0,1,3,75.0
0,Nick Pope,eng ENG,90.0,2,7,77.8
0,Tim Krul,nl NED,90.0,1,2,66.7
0,Martin Dúbravka,sk SVK,90.0,3,5,62.5
0,Mathew Ryan,au AUS,90.0,1,2,66.7
0,Łukasz Fabiański,pl POL,90.0,1,3,75.0
0,Jordan Pickford,eng ENG,90.0,0,2,100.0
0,Ben Foster,eng ENG,90.0,1,1,50.0
0,Angus Gunn,eng ENG,90.0,2,3,60.0
0,Adrián,es ESP,90.0,1,2,66.7
0,Tom Heaton,eng ENG,90.0,2,2,50.0
0,Aaron Ramsdale,eng ENG,90.0,1,6,85.7
0,Ederson,br BRA,90.0,2,0,0.0
0,Hugo Lloris,fr FRA,90.0,2,6,75.0
0,Dean Henderson,eng ENG,90.0,0,4,100.0
0,Vicente Guaita,es ESP,90.0,1,2,66.7
0,Kepa Arrizabalaga,es ESP,90.0,1,3,75.0
0,Kasper Schmeichel,dk DEN,90.0,1,4,80.0
0,Rui Patrício,pt POR,90.0,1,0,0.0
0,David de Gea,es ESP,90.0,1,1,50.0
0,Tom Heaton,eng ENG,90.0,0,0,
0,Jordan Pickford,eng ENG,90.0,2,1,33.3
0,Tim Krul,nl NED,90.0,3,5,62.5
0,Kepa Arrizabalaga,es ESP,90.0,2,3,60.0
0,Dean Henderson,eng ENG,90.0,2,1,33.3
0,Kasper Schmeichel,dk DEN,90.0,1,2,66.7
0,Mathew Ryan,au AUS,90.0,2,2,50.0
0,Angus Gunn,eng ENG,90.0,0,3,100.0
0,Ben Foster,eng ENG,90.0,3,6,66.7
0,Łukasz Fabiański,pl POL,90.0,1,2,66.7
0,David de Gea,es ESP,90.0,2,1,33.3
0,Vicente Guaita,es ESP,90.0,1,2,66.7
0,Adrián,es ESP,90.0,1,2,66.7
0,Bernd Leno,de GER,90.0,3,2,40.0
0,Aaron Ramsdale,eng ENG,90.0,3,2,40.0
0,Ederson,br BRA,90.0,1,6,85.7
0,Hugo Lloris,fr FRA,90.0,1,2,66.7
0,Martin Dúbravka,sk SVK,90.0,0,2,100.0
0,Rui Patrício,pt POR,90.0,1,1,50.0
0,Nick Pope,eng ENG,90.0,1,1,50.0
0,Angus Gunn,eng ENG,90.0,1,7,87.5
0,David de Gea,es ESP,90.0,1,1,50.0
0,Ederson,br BRA,90.0,0,2,100.0
0,Mathew Ryan,au AUS,90.0,4,2,33.3
0,Łukasz Fabiański,pl POL,90.0,0,3,100.0
0,Tim Krul,nl NED,90.0,2,5,71.4
0,Kasper Schmeichel,dk DEN,90.0,1,1,50.0
0,Aaron Ramsdale,eng ENG,90.0,3,2,40.0
0,Martin Dúbravka,sk SVK,90.0,1,2,66.7
0,Ben Foster,eng ENG,90.0,1,3,75.0
0,Kepa Arrizabalaga,es ESP,90.0,2,1,33.3
0,Dean Henderson,eng ENG,90.0,2,3,60.0
0,Vicente Guaita,es ESP,90.0,0,2,100.0
0,Tom Heaton,eng ENG,90.0,1,4,80.0
0,Nick Pope,eng ENG,90.0,3,3,50.0
0,Adrián,es ESP,90.0,0,2,100.0
0,Jordan Pickford,eng ENG,90.0,2,3,60.0
0,Rui Patrício,pt POR,90.0,3,3,50.0
0,Bernd Leno,de GER,90.0,2,7,77.8
0,Hugo Lloris,fr FRA,90.0,2,6,75.0
0,Adrián,es ESP,90.0,1,0,0.0
0,Martin Dúbravka,sk SVK,90.0,3,5,62.5
0,Mathew Ryan,au AUS,90.0,1,0,0.0
0,Nick Pope,eng ENG,90.0,1,4,80.0
0,Dean Henderson,eng ENG,90.0,1,6,85.7
0,Angus Gunn,eng ENG,90.0,0,4,100.0
0,Rui Patrício,pt POR,90.0,5,1,16.7
0,Kepa Arrizabalaga,es ESP,90.0,2,3,60.0
0,David de Gea,es ESP,90.0,0,3,100.0
0,Kasper Schmeichel,dk DEN,90.0,1,4,80.0
0,Hugo Lloris,fr FRA,90.0,0,7,100.0
0,Vicente Guaita,es ESP,90.0,4,2,33.3
0,Tim Krul,nl NED,90.0,2,6,75.0
0,Ederson,br BRA,90.0,3,0,0.0
0,Aaron Ramsdale,eng ENG,90.0,1,4,80.0
0,Jordan Pickford,eng ENG,90.0,3,2,40.0
0,Ben Foster,eng ENG,90.0,2,2,50.0
0,Bernd Leno,de GER,90.0,2,8,80.0
0,Tom Heaton,eng ENG,90.0,0,1,100.0
0,Łukasz Fabiański,pl POL,90.0,0,4,100.0
0,Angus Gunn,eng ENG,90.0,3,0,0.0
0,Aaron Ramsdale,eng ENG,90.0,1,6,85.7
0,Kasper Schmeichel,dk DEN,90.0,1,4,80.0
0,Paulo Gazzaniga,ar ARG,90.0,2,5,71.4
0,Nick Pope,eng ENG,90.0,0,2,100.0
0,Tim Krul,nl NED,90.0,2,4,66.7
0,Jordan Pickford,eng ENG,90.0,2,0,0.0
0,Dean Henderson,eng ENG,90.0,0,3,100.0
0,Ederson,br BRA,90.0,0,4,100.0
0,Ben Foster,eng ENG,90.0,8,4,33.3
0,Martin Dúbravka,sk SVK,90.0,0,2,100.0
0,Mathew Ryan,au AUS,90.0,0,4,100.0
0,Vicente Guaita,es ESP,90.0,1,3,75.0
0,Rui Patrício,pt POR,90.0,1,4,80.0
0,Łukasz Fabiański,pl POL,90.0,0,4,100.0
0,David de Gea,es ESP,90.0,2,4,66.7
0,Kepa Arrizabalaga,es ESP,90.0,2,1,33.3
0,Adrián,es ESP,90.0,1,1,50.0
0,Bernd Leno,de GER,90.0,2,7,77.8
0,Tom Heaton,eng ENG,90.0,3,2,40.0
0,Dean Henderson,eng ENG,90.0,1,3,75.0
0,Adrián,es ESP,90.0,0,2,100.0
0,Vicente Guaita,es ESP,90.0,0,3,100.0
0,Ralf Fährmann,de GER,22.0,1,1,50.0
1,Michael McGovern,nir NIR,68.0,1,0,0.0
0,Kepa Arrizabalaga,es ESP,90.0,0,1,100.0
0,Mathew Ryan,au AUS,90.0,2,8,80.0
0,Aaron Ramsdale,eng ENG,90.0,2,4,66.7
0,Łukasz Fabiański,pl POL,34.0,1,0,0.0
