,Player,#,Nation,Pos,Min,Gls,Ast,xG,npxG,xA,Sh,SoT,Fls,Fld,Crs,TklW,Int,CrdY,CrdR
0,Roberto Firmino,9,br BRA,FW,86.0,0,1,0.9,0.9,0.4,4,1,0,1,0,1,0,0,0
1,James Milner,7,eng ENG,CM,4.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2,Divock Origi,27,be BEL,LW,74.0,1,0,0.2,0.2,0.0,1,1,0,2,4,3,1,0,0
3,Sadio Mané,10,sn SEN,LW,16.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
4,Mohamed Salah,11,eg EGY,RW,90.0,1,1,0.3,0.3,0.2,2,1,1,1,7,0,0,0,0
5,Georginio Wijnaldum,5,nl NED,CM,90.0,0,0,0.0,0.0,0.0,0,0,2,2,0,0,1,0,0
6,Jordan Henderson,14,eng ENG,CM,90.0,0,0,0.2,0.2,0.0,2,1,2,2,4,0,2,0,0
7,Fabinho,3,br BRA,DM,90.0,0,0,0.0,0.0,0.0,1,1,1,1,0,2,2,0,0
8,Andrew Robertson,26,sco SCO,LB,90.0,0,0,0.0,0.0,0.0,2,0,0,0,9,2,1,0,0
9,Virgil van Dijk,4,nl NED,CB,90.0,1,0,0.0,0.0,0.0,1,1,0,0,0,2,5,0,0
10,Joe Gomez,12,eng ENG,CB,90.0,0,0,0.0,0.0,0.0,0,0,2,0,0,1,0,0,0
11,Trent Alexander-Arnold,66,eng ENG,RB,90.0,0,1,0.1,0.1,1.0,2,1,1,0,8,1,2,0,0
12,Alisson,1,br BRA,GK,39.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
13,Adrián,13,es ESP,GK,51.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Teemu Pukki,22,fi FIN,FW,83.0,1,0,0.4,0.4,0.1,3,1,0,1,0,1,1,0,0
1,Josip Drmić,20,ch SUI,FW,7.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2,Todd Cantwell,14,eng ENG,LW,90.0,0,0,0.0,0.0,0.1,0,0,0,3,0,0,0,0,0
3,Emi Buendía,17,ar ARG,RW,90.0,0,1,0.1,0.1,0.5,2,2,1,1,1,1,1,1,0
4,Marco Stiepermann,18,de GER,AM,58.0,0,0,0.2,0.2,0.0,3,1,0,1,0,0,0,0,0
