player_id,last_name,first_name,position,club,team_id
100649,Bernard,,3,Everton,11
101148,Lascelles,Jamaal,2,Newcastle,4
101178,Ward-Prowse,James,3,Southampton,20
101184,Chambers,Calum,2,Arsenal,3
101188,Digne,Lucas,2,Everton,11
101537,Felipe Anderson,,3,West Ham,21
101582,Fred,,3,Man. United,1
101668,Vardy,Jamie,4,Leicester,13
102057,Jiménez,Raúl,4,Wolverhampton,39
102380,Rüdiger,Antonio,2,Chelsea,8
102747,Sidibé,Djibril,2,Everton,11
102826,Mendy,Benjamin,2,Man. City,43
102884,Gazzaniga,Paulo,1,Tottenham,6
103025,Mahrez,Riyad,3,Man. City,43
103123,Haller,Sébastien,4,West Ham,21
10318,Stekelenburg,Maarten,1,Everton,11
103192,Zouma,Kurt,2,Chelsea,8
103912,Ibe,Jordon,3,Bournemouth,91
103914,Taylor,Charlie,2,Burnley,90
103955,Sterling,Raheem,4,Man. City,43
104547,Gayle,Dwight,4,Newcastle,4
104953,Atsu,Christian,3,Newcastle,4
105717,Masuaku,Arthur,2,West Ham,21
106611,Keane,Michael,2,Everton,11
106618,Dummett,Paul,2,Newcastle,4
106760,Shaw,Luke,2,Man. United,1
106837,Praet,Dennis,3,Leicester,13
107265,Gunn,Angus,1,Southampton,20
107613,Saïss,Romain,3,Wolverhampton,39
108156,Engels,Björn,2,Aston Villa,7
108413,Hughes,Will,3,Watford,57
108416,Egan,John,2,Sheffield,49
108823,Dele Alli,,3,Tottenham,6
109322,Lingard,Jesse,3,Man. United,1
109345,March,Solly,3,Brighton,36
109528,Manquillo,Javier,2,Newcastle,4
109533,Emerson,,2,Chelsea,8
109745,Arrizabalaga,Kepa,1,Chelsea,8
110735,Webster,Adam,2,Brighton,36
110979,Mané,Sadio,4,Liverpool,14
111234,Pickford,Jordan,1,Everton,11
111317,Brooks,David,3,Bournemouth,91
111457,Kolasinac,Sead,2,Arsenal,3
111773,Krafth,Emil,2,Newcastle,4
111931,Ricardo Pereira,,2,Leicester,13
113534,Macey,Matt,1,Arsenal,3
113564,Byram,Sam,2,Norwich,45
113688,Niasse,Oumar,4,Everton,11
114128,Jonny,,2,Wolverhampton,39
114283,Grealish,Jack,3,Aston Villa,7
115382,Maupay,Neal,4,Brighton,36
115556,Davies,Ben,2,Tottenham,6
116216,Trossard,Leandro,3,Brighton,36
116535,Alisson,,1,Liverpool,14
116543,Lazaro,Valentino,3,Newcastle,4
116594,Kanté,N'Golo,3,Chelsea,8
116643,Fabinho,,3,Liverpool,14
118748,Mohamed Salah,,4,Liverpool,14
119471,Schär,Fabian,2,Newcastle,4
11948,Lonergan,Andy,1,Liverpool,14
11974,Jakupovic,Eldin,1,Leicester,13
120250,André Gomes,,3,Everton,11
121145,João Cancelo,,2,Man. City,43
121160,Ederson,,1,Man. City,43
121599,Doucouré,Abdoulaye,3,Watford,57
122798,Robertson,Andrew,2,Liverpool,14
122806,McGinn,John,3,Aston Villa,7
123354,Hause,Kortney,2,Aston Villa,7
126184,Aké,Nathan,2,Bournemouth,91
126186,Baker,Lewis,3,Chelsea,8
126187,Loftus-Cheek,Ruben,3,Chelsea,8
126407,Bentaleb,Nabil,3,Newcastle,4
12745,Baines,Leighton,2,Everton,11
127571,Radulovic Samoukovic,Bojan,4,Brighton,36
128198,Boufal,Sofiane,3,Southampton,20
131897,Ryan,Mat,1,Brighton,36
132015,Højbjerg,Pierre-Emile,3,Southampton,20
135363,Christensen,Andreas,2,Chelsea,8
135720,Danso,Kevin,2,Southampton,20
139110,Duda,Ondrej,3,Norwich,45
141020,Meyer,Max,3,Crystal Palace,31
141746,Bruno Fernandes,,3,Man. United,1
145232,Grimshaw,Daniel,1,Man. City,43
146610,O'Connell,Jack,2,Sheffield,49
146941,Laporte,Aymeric,2,Man. City,43
147612,Zivkovic,Richairo,4,Sheffield,49
148225,Martial,Anthony,4,Man. United,1
148508,Trézéguet,,3,Aston Villa,7
149484,Mings,Tyrone,2,Aston Villa,7
15033,Morgan,Wes,2,Leicester,13
151119,Yedlin,DeAndre,2,Newcastle,4
15149,Francis,Simon,2,Bournemouth,91
15157,Milner,James,3,Liverpool,14
151589,Dendoncker,Leander,3,Wolverhampton,39
15237,Surman,Andrew,3,Bournemouth,91
152551,Lerma,Jefferson,3,Bournemouth,91
152760,Origi,Divock,4,Liverpool,14
153127,Hayden,Isaac,3,Newcastle,4
153133,Iwobi,Alex,3,Everton,11
153373,McQueen,Sam,2,Southampton,20
153682,Harry Wilson,,3,Bournemouth,91
153723,Lundstram,John,2,Sheffield,49
154043,Maitland-Niles,Ainsley,3,Arsenal,3
154046,Hinds,Kaylen,4,Watford,57
154131,Stacey,Jack,2,Bournemouth,91
154506,Bachmann,Daniel,1,Watford,57
154566,Solanke,Dominic,4,Bournemouth,91
155408,Lewis Cook,,3,Bournemouth,91
155569,Amartey,Daniel,3,Leicester,13
155651,Masina,Adam,2,Watford,57
156069,Gibson,Liam,2,Newcastle,4
156074,Holding,Rob,2,Arsenal,3
156689,Andreas Pereira,,3,Man. United,1
15749,Hart,Joe,1,Burnley,90
157668,Winks,Harry,3,Tottenham,6
157882,Minamino,Takumi,4,Liverpool,14
158534,Walker-Peters,Kyle,2,Southampton,20
159533,Traoré,Adama,3,Wolverhampton,39
160987,Gbamin,Jean-Philippe,3,Everton,11
16229,Wright,Jake,2,Sheffield,49
164511,Mina,Yerry,2,Everton,11
165210,Jahanbakhsh,Alireza,4,Brighton,36
165809,Bernardo Silva,,3,Man. City,43
166640,Balbuena,Fabián,2,West Ham,21
166989,Tielemans,Youri,3,Leicester,13
167473,Izquierdo,José,4,Brighton,36
167878,Osborn,Ben,3,Sheffield,49
168290,Pussetto,Ignacio,4,Watford,57
168580,Pérez,Ayoze,4,Leicester,13
168991,Billing,Philip,3,Bournemouth,91
169187,Alexander-Arnold,Trent,2,Liverpool,14
169359,Targett,Matt,2,Aston Villa,7
169432,McBurnie,Oliver,4,Sheffield,49
170137,Saint-Maximin,Allan,3,Newcastle,4
171129,Rico,Diego,2,Bournemouth,91
171287,Gomez,Joseph,2,Liverpool,14
171317,Rúben Neves,,3,Wolverhampton,39
171771,Bednarek,Jan,2,Southampton,20
172632,Gray,Demarai,3,Leicester,13
172649,Henderson,Dean,1,Sheffield,49
172780,Maddison,James,3,Leicester,13
172782,Brownhill,Josh,3,Burnley,90
172850,Chilwell,Ben,2,Leicester,13
17349,Lennon,Aaron,3,Burnley,90
173514,Isaac Success,,4,Watford,57
173515,Iheanacho,Kelechi,4,Leicester,13
173807,Davies,Tom,3,Everton,11
173879,Abraham,Tammy,4,Chelsea,8
173904,Sánchez,Davinson,2,Tottenham,6
173954,Riedewald,Jairo,3,Crystal Palace,31
174254,Chirivella,Pedro,3,Liverpool,14
175353,Tom Dele-Bashiru,,3,Watford,57
175592,Keita,Naby,3,Liverpool,14
175941,Whiteman,Alfie,1,Tottenham,6
17601,Carson,Scott,1,Man. City,43
176297,Rashford,Marcus,4,Man. United,1
176413,Pulisic,Christian,3,Chelsea,8
17745,Schmeichel,Kasper,1,Leicester,13
17761,Tarkowski,James,2,Burnley,90
177815,Calvert-Lewin,Dominic,4,Everton,11
178062,Hardy,Joseph,4,Liverpool,14
